stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,60.99,3047.18,0,0,0,0,0,0,0,0,0,0,0,0,85.5,0,0,0,0,0,0,0
  5-6,326.05,8600.72,0,0,0,0,0,0,0,0,0,26.93,0,16.22,134.3,0,0,0,0,0,0,0
  7-9,0,67.64,0,0,0,10.31,0,0,0,0,0,2737.06,74.62,1500.28,0,0,0,0,0,0,0,0
 10-12,0,64.05,33.04,0,0,17.65,0,0,0,0,0,4356.91,128.82,737.33,0,10.98,0,26.76,0,26.2,0,0
 14-21,0,0,0,1.92,2.04,4.51,3.26,0,6.77,0,5.24,257.23,0.89,32.1,0,0,25.92,12.73,6.41,1930.72,0,0
 24-34,0,0,0,0,0,0,0,0,2.65,0,3.47,11.91,2.24,0,0,0,0,1.17,1.79,62.27,1.43,0
 36-46,0,0,0,0,0,0,0,0,0.99,0,2.46,5.52,0,0,0,0,0,0,0,13.07,0,0
 48-58,0,0,0,0,0,0,0,0,0.97,0,1.91,2.89,0,0,0,0,0,0,0,20.4,8.96,0
 60-70,0,0,0,0,0,0,0,0,3.66,0,0,1.15,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.93
 84-94,0,0,0,0,0,2.89,0,0,5.04,0.78,0.63,0,0,0,0,0,0,0,0,0,0,1.25
 96-106,0,0,0,0,0,0,1.48,1.53,4.43,0,0.86,0,0,0,0,0,0,0,0,2.86,0,0
108-118,0,0,0,0.54,0,0,0,0,4.25,0,1.32,1,0,0,0,0,0,0,0,0,0.5,0
