stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0.89,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0
 48-58,0,0,0,0,5.35,0,0,0,0,6.09,0,5.02,0,0,0,0,0,1.12,0,0
 60-70,0,0,0,0,60.35,0,0,0,0,7.26,0,14.06,0,0,0,0,0,0,0,0
 72-82,0,11.13,0,0,184.47,0,0,0,0,113.99,0,8.14,1.13,0.6,0,3.8,0,0.83,1.8,5.03
 84-94,5.85,19.99,0,0,301.78,0,0,0,0,85.27,5.77,7.35,0.7,0,0,3.5,0,0,0,0
 96-106,2.21,20.03,3.41,0,453.56,0,1.36,1.48,0,87.85,0,23.5,1.82,0,1.05,9.09,0,0,0,0
108-118,1,41.03,0,0,490.12,0.6,1.92,3.45,0.8,130.08,0,14.27,0.51,0,0,2.44,1.02,0,0.5,0
120,8.18,63.74,0,4.82,597.1,0,0,0,0,252.67,0,21.14,2.58,0,0,0,0,0,0,0
