stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.95,1735.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.51,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.59,545.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.13,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.09,31.67,0,4.21,0,0,0,41.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.34,18.03,0,0,160.52,0,0,39.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.93,0,32,0,8.31,0,33.57,0,0,0,0,0,7.67,0,0,0,0,0,5.32,0,0,0,0,905.49,15.08,0,0,282.99,0,3.1,47.1,0,24.08,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,0,22.43,4.43,0,9.02,0,0,0,27.31,0,0,0,0,0,0,0,0,12.31,0,0,19.12,224.25,0.95,2.76,5.32,3.91,0,5.96,3.77,11.37,16.28,0,19.53,116.1,0,0,0.9,0,0
 24-34,0,0,1.46,1.34,12.32,0,0,44.27,0,3.01,1.71,29.12,0,0,1.02,0,0,0,1.32,4.93,35.1,0,0,28.87,564.66,0.77,44.53,4.62,0,0,2.2,0,2.17,5.9,0,2.07,157.05,0,0,17.19,0,3.68
 36-46,0,0,0,0,14.54,0.59,0,172.43,0,3.44,0.57,28.17,0.72,0,0.65,0.64,0,0,4.65,0,65.53,0.59,0.6,12.06,806.44,2.07,59.13,1.22,0,0,4.79,0,0,3.56,0,0,158.74,0,0,4.86,0,2.51
 48-58,0,0,0,0,5.15,0,0,286.79,0,1.07,3.52,64.56,0,1.18,1.68,0,0.78,0.83,0.5,0,118.4,0,2.97,11.24,891.01,0,48.2,9.57,0,0.73,8.91,0,0,11.56,0,0,167.16,0,2.58,1.5,0,9.71
 60-70,0,0,0.7,0,6.65,3.19,0,328.84,1.99,1.98,2.51,62.95,0,0,0,0.78,2.24,0,1.39,0,94.24,0,5.38,11.58,921.71,0,63.52,5.71,0,0,21.23,0,0,0,0,0,139.74,0,5.98,0,0,8.87
 72-82,0,0,1.64,0,21.02,3.07,0,273.33,0,0,9.58,53.18,1.44,0.65,0,1.28,0,0.79,3.65,0,134.48,0,2.64,11.83,660.78,0.53,111.17,2.6,0,1.51,1.68,0.56,0,0.76,0,0,90.42,1.21,7.33,5.6,2.75,2.9
 84-94,0,0,2.45,1,14.55,5.06,0,179.75,0,2.45,1.72,68.08,1.82,0.99,0,3.49,2.85,0,4.59,10.1,120.24,0,19.09,10.33,395.27,0,84.86,20.31,0,0,8.21,0,0,4.84,0,0,57.78,0,5.8,9.33,6.34,1.57
 96-106,0,0,0.63,0.64,10.34,13.78,0,152.38,0,1.22,3.73,39.68,0.66,0,0.79,4.61,0.68,0,7.68,0,98.11,1.52,7.8,2.65,362.26,0.97,131.3,16.25,0,1.44,10.58,0,0,3.14,0,0,13.77,0,0.88,10.16,1.35,3.09
108-118,0,0,0.83,0,23.02,7.4,0.62,156.42,0,2.96,1.99,46.78,5.1,0,0,2.9,1.1,4.09,2.18,3.19,104.83,0,2.39,6.08,480.91,0.44,92.32,15,0,0,10.02,0,0,0.87,0.46,0,20.11,1.84,0.84,4.99,1.18,0.75
120,0,0,0,0,30.63,8.37,1.09,189.83,0,0,0,45.83,0,0,0,3.09,1.48,0,18.46,11.31,75.41,0,0,2.83,521.21,1.29,84.32,20.5,0,0,5.61,0,0,5.25,0,0,29.74,3.03,0,2.05,4.11,0
