stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.76,0,0,0,5.31,0,0,0,0,0,0,0,0
 14-21,15.03,5.57,18.95,0,0,40.93,0,0,0,0,0,0,19.49,0,10.84,1488.44,0,0,0,14.65,0,14.14,0,0,55.71,437.64,0,3.96
 24-34,35.6,7.81,33.76,0.67,7.12,83.78,0,1.02,0,2.11,1.72,1.71,68.74,1.63,19.89,3259.73,1.02,1.71,0.62,0,0.7,2.17,0,1.54,53.25,1167.59,0,10.87
 36-46,12.88,0,22.08,0,8.64,25.9,0,3.35,0,0,0,0,71.11,6.65,12.24,690.51,0,0,1.35,0,0.62,0,1.06,5.21,0,595.62,0,8.49
 48-58,3.43,0,3.06,0,8.29,7.59,0,0.87,0,0,0,0,34.65,2.6,4.85,60.39,0,0,0,0,0,0,0,0,0,91,0.61,0
 60-70,3.88,0,3.22,0,1.64,0,2.43,0,0,0,0,0,10.83,0,0.95,10.1,0,0,0,0,0,0,0,1.49,0,6.39,0,0
 72-82,0,0,3.06,0,3.97,4.24,0,0,0,0,0,0,6.99,0,1.1,0.57,0,0,0,0,0,0,0,0,0,0.61,1.02,0
 84-94,1.54,0,1.46,0,5.49,0,0,0,1.22,0,0,0,3.18,0,0,0,0,0,0.87,0,0,0,0,0,0,0,1.63,0
 96-106,0,0,0,0,2.67,0,0,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.59,0,0,0,0,0,1.01,0,0,0,4.1,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0
