stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,160.23,2899.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.76,0,0,0,0,0,0,0,0
  5-6,351.08,6251.69,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,133.82,9.37,0,0,49.14,94.21,0,0,0,0,0,0,0,0
  7-9,104.82,196.71,0,138.92,0,0,0,374.83,0,0,0,0,0,252.06,0,0,0,0,0,0,0,0,0,4146.83,118.62,0,0,1311.87,21.17,0,0,0,0,0,0,0,0
 10-12,0,55.58,0,96.97,0,0,0,119.5,0,0,0,0,0,32.88,0,0,0,0,0,0,0,0,0,1320.45,18.33,0,0,485.84,0,0,83.43,0,12.58,0,0,0,0
 14-21,0,0,0,1.76,31.41,7.65,0,10.71,0,0,0,1.77,2.5,0,0,2,0,0,0,6.2,0,0,7.85,77.37,0,1.84,2.52,3.24,5.36,21.46,1.75,0.88,18.27,28.2,0,1.45,0
 24-34,0,0,0,0,6.73,0.62,0,12.3,0,0,0,0.69,0,0,0,0.79,0.68,1.41,0,9.84,0,0,3.5,66.87,1.86,0.78,4.1,0,6.69,0,0,0,0.62,6.8,0,0.91,0
 36-46,0,0,0,0,3.74,0,0,11.75,0,0,0,3.78,0,0,0,0,0,0,0,10.1,0,0.63,0,46.88,0,2.84,0,0,13.21,0,0,0,0,8.11,0,1.51,0
 48-58,0,0,0,0,5.51,2.84,0,11.37,0,0,0,1.79,0,0,0,0,0.43,2.75,0.64,4.71,0,0,7.82,35.11,0,1.04,1.55,0,6.56,0,0,0,0,5.2,0,0,0
 60-70,0,0,0,0,3.74,0,0,5.64,0,0,2.48,0.87,0,0,0,0,0,0,0,2.13,0,0,0,11.9,0,0,0,0,0.67,0,0,0,0,0,0,11.45,0
 72-82,0,0,0,0,9.74,1.88,0,14.09,0,0,0,10.93,0,0,0.75,5.16,3.23,0,0,14.46,0,0,0.53,14.66,0,1.86,1.37,0,0.52,0,0,0,0,4.3,0,0,0
 84-94,0,0,0.66,0,10.29,0,0,6.29,0,0,0,0,2.9,0,0,1.68,0,0.56,0,8.31,0,0,0,16.64,0,0,7.06,0,14.98,0,0,0,0,0,0,0.67,0
 96-106,0,0,0,0,2.93,0,0,1.56,0.9,0,0,1.56,1.55,0,0,0.99,0,0,0,11.35,0,0,0.61,3.62,0,2.43,0,0,15.9,0,0,0,0,0,0,5.8,0
108-118,0,0,0,0,9.08,1.64,1.15,23.92,0,3.56,1.36,6.16,1.4,0,0,1.1,2.08,0,0,10.1,0.54,0,3.14,24.39,0,2.64,7.02,0,13.04,0,0,0,0,0,0.58,0,0.94
120,0,0,0,0,21.62,0,0,15.81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.95,0,5.91,0,0,10.67,0,0,0,0,0,6.52,4.73,0
