stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,18.89,33.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0
  5-6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.7,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,8.25,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,0,0,0,6.09,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.93,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,11.2,0,0,0,0,8.71,1,0,1.06,0,0,0.92,0
 24-34,0,0,1.43,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,1.34,4.89,5.92,0,0,0,0,1.98,0,1.45,6.74,0,2.12,0
 36-46,0,0,0,0,0.62,0,0,3.66,0,0,0,0,0,0,1.51,0,0,0,0,0,8.48,0,0,1.13,3.97,1.96,1.14,0,0,2.23,0,0,0,1.1,0,0.63,0
 48-58,0,0,0,0,2.93,0,0,0.41,0,0,0,3.04,0,0,0,0,0,0,0,2.18,3.48,0,0,0,19.08,0,1.18,0.82,0,8.81,0,0,0,0.42,0,3.05,0
 60-70,0,0,1.3,0,0.56,0,0,5.32,0,2.58,0,15.05,0,0,0,0,0,0,0,0,29.97,0,0,1.2,2.15,1.03,0,4.67,0,4.86,0,0,0,12.07,0,0,0
 72-82,0,0,1.11,0,1.38,0.56,0,17.14,0,0,0.59,14.18,0.67,0,1.53,0,0.66,0,1.59,0,56.61,2.59,0,0,15.11,1.12,5.66,4.42,0,3.21,0,0,0,6.65,0.53,2.06,0
 84-94,0,0,2.35,0,3.16,14.28,0,23.79,0,1.91,0,20.76,0.86,0,2.56,0,0,6.21,0,0,18.65,0.71,0,2.2,8.98,0.85,0,0.55,0,12.66,0.87,0,0,4.51,0,0,0
 96-106,0,0,0,0,2.13,1.82,0,49.49,0,0,1.66,40.03,6.44,0,0,1.14,0,1.14,0,0,33.38,2.19,0,0,16.7,0.91,0,1.94,0,7,0,5.77,0,2.06,5.7,0,0
108-118,0,0,3.19,0,7.46,5.08,0.47,62.27,2.52,0,1.71,30.01,2.08,0,0,0.66,0,2.63,2.2,2.45,60.1,0,2.03,1.32,20.96,0,0,6.76,0,10.07,1.22,1.51,0,1.99,0,0.94,2.71
120,0,0,4.34,0,24.2,2.66,0,106.44,1.75,0,1.44,66.49,0,0,0,2.32,2.26,2.23,0,1.08,61.96,0,0,0,9.57,0,0,18.37,0,23.48,3.24,0,0,0,0,2.71,0
