stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.67,110.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,213.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0,0
  7-9,6.63,5.25,0,0,0,5.19,0,0,0,23.18,0,0,0,0,0,0,0,0,0,110.92,8.85,0,0,26.19,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,69.3,22.6,0,0,12.26,0,0,0,0,5.88,0,0,0,0
 14-21,0,0,0,8.77,1.23,0.89,0,0,1.01,0,3.91,0,0,0,0,0,5.58,0,1.7,47.96,0,0,3.3,0,0,0,0.88,3.86,0,43.2,0.85,0,0
 24-34,0,0,0.8,3.19,0,1.67,0,0.8,1.97,0,6.56,0,0,0,0,0,5.89,0,8.48,233.15,0,1.03,0.74,0,0,0,0,0,0,35.05,7.35,0,1.3
 36-46,0,0,0,3.01,0,5.54,0,3.38,0,0,0,0,0,0,0,0,6.57,0.89,1.79,166.17,0,0,0,0,0,5.09,0,0,0,10.23,0,0,0
 48-58,0,0,0,0,0,5.82,0,0,0.94,0,0,0,0,0.39,0,0,3.12,2.68,1.09,104.02,0,0.57,0.42,0,0,0,0,0,0,6.62,1.56,0,0
 60-70,0,0,0,0,0,13.13,0,1.49,4.49,0,0,0,0,0,0,0,1.35,0,1.87,24,0,0,0.65,0,0,1.49,0,0,0,4.75,0,0,0
 72-82,0,0,0,0,6.59,1.14,0,0,7.18,0,0.7,0.71,0,0,0,0,9.32,0,0.6,125.53,0,0,0,0,0,0,0,0,0,4.26,0,0,0
 84-94,0,0,0,0,5.6,3.99,0,0,0.59,0,0,3.32,0.72,0,0.69,0,2.14,0,1.66,44.15,0,0,0,0,0,0,0,0,0,1.83,0,0.77,0
 96-106,0,0,0,0,6.65,13.23,0,0.72,1.33,0,0,3.93,0,0,0,0,8.71,1.91,0,67.85,0,0,0.85,0,1.16,2.3,0,0.63,0,0,0,0,0
108-118,0,0,0,0,0.48,7.5,4.23,1.22,7.69,0,0,1.4,0,0,0,1.74,6.54,0,0.47,83.24,0,0,2.43,0,0,0,0,0,0,0,0,3.85,0
120,1.19,0,0,2.59,2.91,43.59,0,0,0,0,0,7.32,0,0,0,0,17.34,0,0,128.26,0,0,0,0,0,0,0,0,0,0,0,0,0
