stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,160.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0
  5-6,38.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,1.18,0,0,0,0,0,1.13,0,0.88,0.93,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.94,0,1.21,0.66,0,0,0,0,1.59,7.21,0,0,2.58,0,0,0
 36-46,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0.94,5.39,1.69,0,1.22,1.9,0,0
 48-58,0,0,0,0,0,0,0,0,1.56,0,0,0,3.28,0,12.8,0,0,2.86,0,0,0
 60-70,0,0,1.52,0,0,5.64,0,3.06,16.11,0,3.59,0,2.22,0.67,5.86,1.11,0,2.49,0,0,0
 72-82,0,0,0.66,0,0,3.8,0,0,25.99,0,0.59,0,4.59,0,7.7,0,0,0,0.49,0.72,0
 84-94,0,0,0,0,0,5.37,0.75,1.75,17.89,0,1.38,0,3.94,0,9.74,6.35,0,1.55,6.1,0,0
 96-106,0,0,0,0,0.71,3.26,0,0,5.6,0,3.46,0,0,0.83,2.95,0,0.79,0,2.04,0,0
108-118,0,0.75,0.91,0,0,0.93,0,0,14.38,1.06,0.91,0,2.5,0,6.12,0,0,0,0,0,0.65
120,0,0,0,0,0,0,0,0,105.6,0,3.6,0,0,0,0,11.74,10.99,0,0,0,2.33
