stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
 48-58,0,0,0,3.62,0,0,0,0,0,0,0,0
 60-70,0,0,0,100.9,0,0,0,0,0,0,0,0
 72-82,0.87,1.12,0,272.98,0,0,0.92,0.85,0,0,2.85,0
 84-94,0,0.91,0,390.05,0,0,0,0,4.31,2.32,0,0
 96-106,0,0,0,256.56,1.48,0.66,0,0,0,1.77,0,0
108-118,0,0,2.1,173.43,0,0,0,0,2.49,0,0,0
120,0,0,0,379.34,0,0,0,0,0,0,0,2.66
