stage,axial,blastomeres,eye,glial,mesenchyme,muscle,neural,notochord,presomitic.mesoderm,vasculature
  3-4,17.22,21.06,0,0,0,0,0,0,0,0
  5-6,0,6.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.34,0
 24-34,0,0,0,0,0,0,4.56,0,0,1.45
 36-46,0,0,0,0,0,0,1.14,0,0,1.21
 48-58,0,0,0.91,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.13,0,3.38,0,0,0.85
 72-82,0,0,0,0.92,11.03,0.71,3.95,0,0,0
 84-94,0,0,0,0,3.72,0,4.75,0.62,0,0
 96-106,0,0,0,1.01,4.61,0,0,0,0,0
108-118,0,0,0.71,0,0.88,0,2.37,0,0,0
120,0,0,0,0,9.49,0,1.24,0,0,0
