stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,305.56,4823.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.75,0,0,0,0,0,0,0,0,0,0,0
  5-6,152.06,3015.67,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,14.45,8.9,0,0,0,0,61.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.91,22.74,0,87.96,0,0,0,51.93,0,0,0,0,0,57.4,0,0,0,0,0,0,0,0,0,0,598.51,28.65,0,0,208.8,0,3.31,30.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.93,0,130.29,0,0,0,137.16,0,0,0,0,0,52.94,0,0,0,0,0,0,0,0,0,0,1303.4,148.32,0,0,422.39,0,4.49,9.03,0,129.85,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,13.19,294.43,14.65,0,17.03,0,0,0,30.01,9.57,0.82,4.38,0,0,0,0,0,81.35,0,0,70.97,894.51,310.63,1,20.08,4.46,0,14.8,1.31,44.47,8.79,94.45,205.59,423.98,0,0,3.41,0,1.36
 24-34,0.88,0,0.8,5.24,90.29,2.5,0,36.23,0,0.68,2.8,58.47,2.24,0,2.02,0,0.99,1.29,3.5,1.61,219.38,1.03,0,76.69,2234.13,130.78,7.17,25.04,0,0.99,2.57,0,0,1.66,11.3,38.26,640.51,0,0,11.43,0,2.35
 36-46,0,0,0,0,45.38,0,0,45.88,1.14,2.63,7.84,125.17,0.82,0,6.36,0,0,1.27,0,0,230.85,0,3.99,29.41,1902.5,78.62,13.11,8.41,0,1.69,6.1,0,0,4.97,4.64,0,551.36,0,0,14.39,0,0.72
 48-58,0,0,0.46,0,26.07,1.56,0,102.22,5.11,6.6,14.43,225.41,0.5,4.42,0.86,1.02,0,4.66,1.16,0.41,328.7,1.05,9.02,36.16,1698.09,66.85,8.97,13.39,0,0.47,1.3,0,0,0,1.48,0,367.94,0,0.81,11.73,0,0
 60-70,0,0,1.23,0,29.67,2.72,0,121.53,0,6.74,26.16,173.2,0,5.49,4,0,0.61,1.14,4.29,4.47,379.62,0,21.29,14.74,1444.33,31.77,2.68,8.68,0,0,3.55,0,0,0.58,1.58,0,199.92,0,4.34,15.6,0,14.41
 72-82,0,0,2.34,0,20.94,4.67,0,162.53,0,2.06,8.06,178.04,3.19,0.51,6.83,0,2.21,3.01,3.98,0,488.11,0,22.24,26.31,1211.14,12.14,4.58,19.49,0,4.33,0.58,0,0,0,0,0,100.67,2.54,5.68,15.2,5.31,5.25
 84-94,0.62,0,4.01,0,24.03,0.78,0,169.52,5.38,3.51,3.01,151.7,4.43,0,4.69,3.79,4.6,3.02,1.5,2.67,428.27,0,20.46,18.69,807.24,31.39,5.85,5,0,9.37,6.66,0,0,0,0.62,0,57.94,5.29,6.23,12.19,11.69,0
 96-106,0,0,2.2,0,51.06,2.06,0,179.41,2.95,2.66,12.63,114.48,4.07,0,2.2,0.78,0,6.28,0.84,0,289.67,0,19.03,33.25,742.56,4.08,8.21,13.75,0,0,14.39,3.82,0,3.5,1.26,0,44.45,2.95,5.67,13.45,22.03,0
108-118,0,0,1.84,0,26.47,2.25,0,132.42,1.19,0.69,10.83,119.18,1.67,0,0.43,0.65,4.09,11.66,9.86,0,337.77,6.76,22.19,21.59,752.75,23.01,2.7,9.03,0,4.23,14.44,0,0,5.98,0,0,44.24,3.24,5.67,9.82,3.87,0
120,0,0,2.52,0,40.88,0,1.09,187.61,1.18,5.63,21.24,251.34,1.73,0,0,3.53,2.69,0,0,0,306.94,0,31.26,29.59,1570.02,11.11,1.29,26.95,0,12.2,1.53,2.5,0,1.74,1.63,0,32.33,8.39,3.8,24.93,7.24,0
