stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,68.91,815.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.77,430.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.75,23.58,0,8.7,0,0,13.42,0,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0,168.12,8.54,0,0,30.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.63,0,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.07,0,2.76,0,0,0,0,11.25,0,0,0,0,7.08,0,0,0,0,2.2,0,0,8.88,2.08,0,0,0,0,0,0,0,13.2,14.6,7.68,8.07,0,0,0,0
 24-34,0,0,5.75,0,9.75,4.32,2.51,0,0,22.1,0,0,0.95,1.26,6.85,0,0,0,0,0,3.02,0,2.58,18.09,0.95,42.98,3.02,0,0,0,0,17.17,2.15,2.07,25.99,0,0,0,0.96
 36-46,0,0,8.09,0,0.68,0,7.01,0,0.67,9.16,0,0,0,0,2.11,0,0,0,1.14,0,2.22,0,0,42.98,0,89.25,0.76,0,0,0,0,6.52,1.04,0,15.34,0,0,0,0
 48-58,0,0,1.17,0,2.18,0,10.03,0,0,18.29,0,0,1.02,0.37,0,0,0.48,0,8.8,0.64,0,0,0,28.57,0,47.61,0.81,0,0,0,0,5.89,0.89,0,23.58,0,0,0.45,0.63
 60-70,0,0,0.95,0,0.68,0,40.22,0.65,0,23.46,0,0,0,0,0.58,1.32,2.33,0,1.87,0,0,0,1.78,47.08,0,59.12,0,0,1.65,0,0,3.21,0,0,21.35,0,0,0,0
 72-82,0,0,3.41,0,1.31,0,15.89,0,0,14.72,1.78,0,0,0,0,0,0,0,0.9,3.93,0,0,1.09,18.4,0,115.07,1.04,0,0,0,0,9.36,0,0,9.14,0,0,0,0
 84-94,0,0,5.23,0,0,0,11.59,0,0,24.41,0,0,0,0,0,3.51,0,4.41,1.32,2.41,0,0,0,40.93,0,123.68,9.67,0,0,2.54,0,21.2,0,0,2.91,0,0,0,0
 96-106,0,0,3.04,0,1.45,0,18.28,0.96,0,19.62,5.33,0,0,0,1.34,2.47,0,0,0.67,0.7,0,0.76,0,31.66,0,174.14,4.16,0,0,0,0,16.06,0,0,2.97,0,0,0,0
108-118,0,0,4.78,0,2.66,0,17.45,1.12,2.73,14.72,1.46,0,0,0,0,2.18,3.62,0,0,2.91,0,2.64,0,19.4,0,119.12,8.02,0,0,1.85,0,17.18,0,0,0.55,0.67,0,0,0
120,0,0,6.68,0,0,0,16.53,0,0,13.65,0,0,0,0,1.63,2.23,0,3.84,0,7.12,0,0,2.07,60.31,0,79.97,7.12,0,0,2.81,2.5,4.87,0,0,7.84,0,10.98,0,0
