stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.77,0,0,6.97,0,0,0,0,0,0,0,41.85,0,0,0,13.44,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.41,0,0,0,5.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.12,0,0,1.3,0,0,0,0,0,0.95,1.07,0,0
 24-34,0,0,1.38,0.92,1.89,0,0,0,0,0.68,0,0,5.47,0.6,0,0,0,0,0,1.42,0,0
 36-46,0,0,0.65,0,4.17,0,0,0,0,0.83,0,0,2.7,0,0,0,0,0.65,0,4.72,0,0
 48-58,0,0,0,0,1.13,0,0.47,0,0,0,1.05,0,4.25,0,0,0,0,0,0,0,1.94,0
 60-70,0,0,0,0,7.92,0,0,0,0,0.86,0,0,0.86,0,0,0,0,0,0,0.89,0,0
 72-82,0,0,1.86,0,1.58,0,0.56,0,0,1.99,0,0,4.48,0,0,0.49,0,0,0,0,0,0
 84-94,0,0,0,1.52,0.62,0,0,0,0,0,0,2.7,1.88,0,0,0,0,0.89,0,0,0,0
 96-106,0,0,0,0,2.93,1.14,0.78,0,0,0,0,0.58,0,0,0.79,0,0,0,0,0,0,0.89
108-118,0,0,0,0,0,7.56,0,0.87,0,2.64,0,0,1.8,0.67,0.41,0,0,0.53,0,0,0,0
120,0,0,0,0,19.12,0,0,1.59,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0
