stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,201.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,173.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.48,0,0,0,10.08,0,0,0,0,0,15.97,0,0,0,0,0,0,0,0,0,0,0,59.6,5.59,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.45,0,0,0,0,0,48.96,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,307.06,3.54,0,0,127.99,0,0,0,0,13.97,0,4.35,0,0,0,0,0,0
 14-21,0,1.69,6.97,111.86,4.07,0,19.42,0,1.17,0,5.08,0,2.1,8.69,0,0.83,0,0,3.97,0,42.76,0,0,29.82,365.14,272.43,2.44,0.95,0.98,0,15.34,2.91,62.97,2.84,198.75,611.54,129.84,0,0,1.01,0,0
 24-34,0,0,25.65,41.35,13.58,0,36.85,0.66,1.22,0.69,5.21,16.15,5.25,10.99,0.71,7.44,0,0,7.2,0,29.38,11.47,0,23.64,758.26,6.43,16.29,23.05,0,0.99,9.68,0,0.85,4.44,59.61,104.92,225.47,0,0,4.43,0,0
 36-46,0,0,1.85,13.19,5.11,0,70.64,8.95,3.4,0.78,29.21,12.46,0,5.19,0,1.45,3.97,0,9.35,4.95,14.95,0,0,8.52,1189.55,0,22.16,12,0,0,13.89,0,0,8.19,3.25,5.62,252.76,0,0,4.69,0,0
 48-58,0,0.46,0.45,16.04,16.44,0,265.93,8.54,3.03,0.42,52.84,24.65,0.48,0,0,4.97,0,3.39,4.39,1.24,20.49,0.49,0.6,12.41,1599.61,2.09,17.93,15.4,0,0,6.23,0,0,3.87,8.05,0,301.71,0,0,1.36,0,1.32
 60-70,0,0,0,32.28,20.12,0,766.79,9.68,13.32,0,75.03,13.22,0,2.53,0.95,13.22,1.16,5.93,5.22,0,29.65,7.59,0,16.53,2065.98,0,21.55,48.17,0,0,9.9,0,0,0.82,16.07,0,281.31,0,0.6,3.3,1.46,3.07
 72-82,0,2.9,0.56,42.7,75.59,0,996.7,10.9,6.93,0.6,93.89,50.42,0.6,1.04,1.22,4.5,2.8,8.85,5.52,0,65.26,3.54,1.43,3.96,1973.46,0.58,29.57,50.21,0,0,4.5,3.31,0,1.86,1.05,0,197.02,1.86,0.63,4.21,1.62,3.48
 84-94,0,4.69,0,75.37,109.92,0.6,762.27,4.44,4.04,1.56,74.52,52.69,2.11,0.8,5.26,6.72,9.82,12.04,0,0,55.58,17.04,0,2.14,1328.47,0,17.19,71.19,0,1.75,13.46,0,0,6.56,1.62,0,77.49,0.9,1.31,17.45,2.85,0
 96-106,0,3.5,0,89.45,144.68,0.77,648,8.64,16.94,1.01,78.19,33.29,0,0,2.44,6.33,0,34.23,25.83,0,53.42,19.04,0,5.53,1167.4,0,37.32,45.71,0,0,33.63,7.21,0,1.8,1.66,0,82.13,5.99,4.42,2.09,0.65,0.68
108-118,0,0.98,1.47,80.09,55.82,4.96,553.54,3.19,17.04,3.24,87.62,21.48,0,0.51,0,8.81,0,19.07,5.58,1.33,57.7,9.46,0,7.61,1244.24,0.52,17.27,44.21,0,0.76,23.31,0,0,10.55,2.72,0,65.06,6.27,0,6.48,3.92,9.08
120,0,11.33,3.17,75.1,105.23,0,944.68,5.83,5.07,0,182.82,24.88,0,4.47,1.26,6.1,3.57,12.43,0,0,46.17,3.52,17.45,11.68,2088.59,2.26,56.88,93.34,0,0,15.03,0,0,2.39,1.99,0,49.26,1.87,0,19.3,0,3.43
