stage,eye,neural,notochord,spinal.cord
 14-21,0,0,0,1.46
 36-46,0.66,0,3.23,0
 48-58,0,1.12,0,0.41
 60-70,0,4.62,0,0
 72-82,0,1.62,0,0
120,0,0,0,10.36
