stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.8,53.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.67,3.59,0,0,19.94,0,0,9.39,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,18.75,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,108.87,0,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.88,6.37,0,4.85,0,0,0,5.42,0,0,0,0,0,0,0,0,1.13,0,0,0,0,828.07,0,16.48,0,0,0,0,0,0,0,469.66,0,0,0,0,0
 24-34,0,0,3.21,8.93,0,52.49,0,0.97,0,29.33,0,0,0,0,1.33,0,0,0.69,0.98,3.2,0,0.81,3.31,4362.59,9.4,25.18,0.94,0,0,6,0,0,0.89,1076.54,0,0,0,0,0
 36-46,0,0,0.98,0.72,0,366.86,0,1.39,0,145.26,0,0,1.36,0.74,0,0,0,0,3.65,11,0,0,4.95,9394.6,0.59,20.65,0,0,0,3.62,0,0.59,0,1958.28,0,0,4.82,0,0
 48-58,0,0,0,28.79,2.12,909.07,8.34,13.33,0.37,342.5,0.49,0,0,8.9,2.21,1.96,0.44,0,5.7,34.91,0.7,7.31,3.83,8997.13,5.66,11.42,0,0,0,3.7,0,0,0,1837.22,0,0,6.79,0,24.43
 60-70,0,0,0,5.06,2.99,2196.1,0,7.84,11.48,217.53,0,0,0,5.07,0,3.8,0,2.6,10.04,22.97,0,0.99,7.09,7947.69,0,15.63,3.13,0,0,11.84,0,0,0,1426.63,0,0,2.85,0,30.51
 72-82,0,0,2.19,39.37,4.39,2927.11,0,1.94,1.17,178.75,2.53,0,0.58,5.6,0,5.17,0.91,13.92,0,64.95,0,5.1,2.84,6333.35,0,9.26,3.05,0,1.08,8.11,0,0,0,813.17,2.03,0.73,1.67,0,33.79
 84-94,0,0,0,30.7,2.89,2318.71,0.56,0,1.6,171.45,3.03,0,2.82,0.64,0,2.31,1.5,0,6.72,49.32,2.96,14.74,16.24,4477.05,2.33,2.86,6.59,0,0,11.56,1.4,0,0,551.44,0.9,1.27,6.12,1.72,27.87
 96-106,0,0,0.61,27.73,17.52,2399.17,1.02,1.52,0,163.1,2.25,0,0,1.28,12.44,1.5,2.23,17.23,0,52.39,0,0.8,5.32,3481.73,1.57,7.77,4,0,0,13.43,0,3.93,0,222.79,1.13,0,7.13,1.39,12.79
108-118,0,0,8.29,51.17,0.99,1903.33,0.96,0,0.81,187.35,0,0,0.49,1.61,3.68,8.99,0,0.43,4.49,28.09,0,10.65,1.17,4575.29,0,18.98,0,0,1.58,2.03,0,0,0,148.25,5.44,3.13,2.6,4.81,0
120,0,0,0,35.51,2.01,1153.7,0,0,6.63,344.27,0,0,0,8.2,0,0,3.53,0,0,23.43,0,0,5.69,5208.28,0,15.11,0,0,0,2.82,0,0,0,215.85,0,0,6.88,11.05,0
