stage,blastomeres,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,21.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.75,0,0,0,4.64,0,0
 14-21,0,0,0,1.34,0,0,0,3.25,0,0,1.65,0,0,1.99
 24-34,0,0,0.76,1.01,0.95,0.62,0.96,10.15,0,0,0,0,0.67,2.65
 36-46,0,1.44,0,0,0,0,0.59,3.79,0,0,0,0,0.65,1.27
 48-58,0,4.96,0,0,0,0.46,0,11.21,4.59,0.89,0,0,0,3.97
 60-70,0,2.03,0,0,0,1.22,0,0.86,0,0,0,0,0,9.46
 72-82,0,0,0,2.15,0,0,0,5.83,0,0,0,0,0.57,0
 84-94,0,0,0.85,0.82,0,0.66,0,2.92,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.24,0,0,0,0,0,4.77
108-118,0,5.36,0,0,0,0.76,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0
