stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
 14-21,0.86,0.95,7.24,0,0,0,0,0,0,28.81,0,0,0,0,0,0,1.39,0,0,0.84,0,0,0
 24-34,0,0,12.9,0,0,0,0,0,0,53.08,0,0,0,0.67,0,0,6,0,0,0,0,1.12,10.4
 36-46,0,0.86,2.42,0.63,0,0,0,0,0,88.48,0,0,0,0.83,0,0,10.44,0,0,0,0,0,13.01
 48-58,0,0,0,0,0,0,0,0,0,79.14,0,0.45,1.54,1.56,0,0,15.24,0,0,0,0,0.45,11.78
 60-70,0,0,2.99,5.58,0,0,0,0,0,114.95,0,0,0,11.27,0,0,26.09,0.89,0,0,0,0.82,5.92
 72-82,0,0.65,7.67,7.08,0.8,0,0.71,0,0.89,140.51,0,0,0,3.08,0,0,11.38,2,0.74,0,2,0,15.87
 84-94,0,0.98,4.52,6.52,0,1.27,0.97,0,0,187.98,0,0,3.36,5.09,0,0,14.65,0,0.74,0,0,0,7.15
 96-106,0,1.7,6.26,5.91,0,0,2.28,0.7,0,211.75,0.64,0.83,1.27,2.49,0.71,0,9.99,0,0,0,0,0,24.92
108-118,0,2.17,6.16,9.67,0,0,2.62,2.09,1.25,188.28,0,0,0,4.52,0,2.15,11.16,0,0,0,0.83,0,16.82
120,0,1.28,5.55,1.29,0,0,8.94,0,0,229.63,2.56,1.15,0,0,0,0,4.65,0,5.27,0,0,0,16.48
