stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,vasculature
  5-6,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.23,0,0,0
 24-34,0,1.84,0,0,0,0,0,0,0,0,0.79,0,0,1.03,0,1.53,2.01
 36-46,0,0,0,0,0,0,0.62,0,0,0,0,0,1.11,1.34,0,2.18,0.62
 48-58,0,3.37,0,0,1.16,0,0,0,0,0,0.55,0,0,12.51,0,2.36,0
 60-70,0,0,0,0,1.44,0.99,0,2.27,3.23,0,0,0,0.84,23.04,0,0,0.87
 72-82,0,0,6.23,1.8,0,0,0,0,0.83,0,0,1.52,0,10.83,0,0,0
 84-94,0,0,0,1.17,18.86,0,0,0.66,7.66,0,0,0,0,18.22,1.69,0,0
 96-106,0,0,0,1.28,2.68,0,0,0,1.73,0,0,0,0,15.89,0,0,0
108-118,0,0,0,30.29,4.69,0,0,0.7,7.81,0.78,0,0,0,4.7,0,0,0
120,0,3.73,0,0,34.16,0,0,3.64,7.12,0,9.22,0,0,7.63,0,8.31,0
