stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,lateral.line,mesenchyme,mucous,neural,otic,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,6,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0
 14-21,0,0,2.69,0,0,0,0,0,0,3.53,0,1.54,0,0
 24-34,0.74,0,2.66,0,0,0,0.64,0,0,14.95,0,0.88,0,0
 36-46,0,1.29,3.96,0,0,0,0,1.64,0,17.43,0,12.81,0,0
 48-58,0,0,3.97,0.7,1.85,1.77,0,1.63,0,24.82,0.42,7.11,0.76,0
 60-70,0.64,2.6,19.53,0,10.5,0,0,4.27,0,23.12,0,5.89,0,0
 72-82,0.88,43.57,20.56,0,3.83,0,0,4.05,0,32.16,1.64,4.22,6.91,0
 84-94,0.57,24.32,20.64,0,1.81,0,0,0,2.13,21.07,0,4.15,0,3.53
 96-106,0,21.87,30.92,0,4.89,0,0,1.63,0,21.3,0,0,0,0
108-118,0.58,9.17,13.76,0,0.95,0,0,2.87,0,22.96,0,0,0,0
120,0,14.48,36.71,0,16.7,2.67,0,0,0,49.94,1.61,0,0,0
