stage,eye,glial,immune,mesenchyme,mural.cell,neural,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,10.55,0,0,0
 36-46,0,0,0,0,0,17.23,0,0,0
 48-58,0,0,0,0,0,12.77,0,0,0
 60-70,1.3,1.68,0,0,0,10,0.84,0,0
 72-82,0.69,1.6,0,3.75,0,66.74,5.39,0,1.28
 84-94,0,3.3,0,1.59,0,7.48,0,1.03,3.03
 96-106,0,0,0,0,2.34,29.21,4.17,0,2.8
108-118,7.31,0,0.46,0,0,26.32,0,0,0.66
120,0,9.58,0,0,0,5.52,0,2.71,11.39
