stage,blastomeres,endoderm,eye,neural,notochord,paraxial.mesoderm,spinal.cord
  5-6,101.82,0,0,0,0,0,0
  7-9,0,5.22,16.19,85.23,10.44,15.69,0
 10-12,0,0,9.32,26.38,0,12.56,0
 72-82,0,0,0,0,0,0,3.78
