stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.92,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4,7.26,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,8.65,0.8,3.51,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.89,0,0,0,0,0,0,4.95,0.96,0.82,9.57,0,0,0,0,0
 24-34,0,0,1.46,0,7.93,0,0,0,0,0,0,0,0.77,0,0,0,3.73,0,3.33,92.37,0,0,1.99,0,2.91,8.18,0,0,0,22.54,0,0,0.98,0,0.63
 36-46,0,0,0,0,5.2,1.68,0,0,1.81,0,0,0,0,0,0,3.56,3.03,0,0.98,43.8,0,0.6,0,0,0,4.68,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.52,0,13.21,1.21,0,0.41,12.23,3.05,0,0,0,0,2.22,0.57,5.42,0,0,67.77,7.92,0,0,0,0,1.58,0,0,0,2.43,0,0,0,0,0
 60-70,0,0,1.47,0,15.25,0,0.64,0,3.07,0,0,0,0,9.69,1.45,0,8.9,0,0,78.6,0,0,2.43,0,0,16.1,0,0,0,2.59,0,0,0,0,0
 72-82,0,0,3.87,0,30.1,0,0,0,3.61,0.56,0,0,1.27,0,1.07,0,13.3,0,0,46.96,0,0,0,0,0,5.92,0,0,0,3.45,0,1.21,1.51,0,0
 84-94,0,0,0.78,0,3.26,0,0.63,0,0,0,0,0,0,0,0,0,2.06,0,0,20.41,0,0.76,0,0,0,0.57,0,0,0,0,0,0,0.8,0,0
 96-106,0,0,0.65,0,2.02,0,0.6,0,7.53,0,0,0,0,0,0,0,7.52,0,1.34,2.12,0,0,0,0,0,0,0,0,0,1.9,2.47,0,0,1.36,0
108-118,0,0,0.59,0,10.13,0,0,0,3.91,0,0,0.69,0,0,0,0,6.39,1.47,0.94,14.97,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0
120,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,11.59,0,0,35.15,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,0
