stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,27.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,0,0,0,21.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,3.05,0,0,36.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.87,1.03,0,0,0,0,0,0,2.91,0,1.67,0,0,0,0,0
 24-34,0,0,3.76,2.92,0,2.14,0,0,0,0,0,2.52,0,0,0,0.72,0,4.11,0,0,2.05,1.48,0,0,0,0,0,0,0,0,0.64,0,0,0,1.02,0
 36-46,0,0,1.88,0,0,0.84,0,0,1.4,0,0,0,0,0,0,0,0,25.69,0,0.8,5.02,5.02,2.03,0,0,0,0,0,0,10.64,0,7.04,0,0,1.09,0
 48-58,0,0,0.95,0,0,0,0,0,1.13,0,0,0,0,0,6.97,0,3.96,18.45,0,0.47,2.12,12.75,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,3.18,0,2.1,1.57,0,0,1.23,0,0,0,0,0,0,0.57,0.61,0.57,0,2.04
 72-82,0,0,0,0,0,4.19,0,1.37,0,1.71,0,0.89,0,0,0,0,0,15.18,0,0,0.78,0,0,1.81,0,0,0,1.3,0,0,0,0,0,2.42,0.9,1.68
 84-94,0,0,0.74,0,0,0.9,0,0,0,0,0.57,0,2.11,1.71,0,5.33,0,9.94,0,2.25,0,25.65,0,0,0,0,0,0,0,0,0,0,0,0.59,1.07,0
 96-106,0,0,9.13,0,0.97,1.48,0,1.35,0,1.58,0,0,0.8,0,0,1.11,0,11.08,0,0,0,1.03,1.64,1.82,4.03,0,1.92,3.89,0,0,0,0,0,1.2,2.8,2.04
108-118,0,0,9.48,0,0,0,0,0,0,0,0.47,0,1.81,0.67,0,0,1.56,4.34,0,0,0,2.04,0,0.98,2.05,0,4.91,0,0,0,0,0,0,1.94,1.18,0
120,0,0,9.35,0,0,0,1.57,0,0,4.07,0,0,1.48,3.56,0,0,0,11.23,4.79,0,1.12,0,3.31,0,0,0,19.49,0,0,0,0,0,0,0,1.23,0
