stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,2.6,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,1.01,0
 24-34,0.84,0.65,0.6,0,5.36,0,0,0.83,8.89,0,0,9.2,3.51,0,11.55,1.89,0,1.55,0.82,1.11,1.31,0
 36-46,0,0,0,0,1.82,0,0,0,26.39,0,0.99,1.62,2.39,0,10.82,0,0,2.09,0.84,0,14.62,0
 48-58,0,0,0,0,4.09,0,0,3.42,63.52,0,0,0,4.47,0,21.3,0,0,0.82,0,27.71,12.38,0
 60-70,0,0,0,0,38.88,0.95,0,6.83,265.38,0,1.02,4.33,0.76,0,53.69,0,0,1.72,0,43.52,8.38,0
 72-82,0,0,0,0,112.02,0,0,4.94,353.5,0,0,0,2.62,0,23.94,0,0,2.96,0,11.55,6.33,0
 84-94,0,0,0,0,80.59,0,0,10.02,300.91,2.47,0,4.29,1.64,0,20.63,0,1.05,7.81,0,16.26,3.65,0
 96-106,1.1,0,1.48,2.78,111.19,0,2.73,1.07,334.36,0.69,0,0.76,6.26,0,27.25,0,1.17,5.12,0.99,3.8,2.73,2.89
108-118,0,0.49,0,0,71.13,0,0,4.14,353.32,6.52,0,3.26,1.17,0.79,26.9,0,0.41,5.81,0,2.2,9.93,0
120,0,0,0,0,35.58,0,0,0,657.86,1.69,0,0,20.07,2.41,72.81,0,0,9.85,0,3.61,0,0
