stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,91.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.83,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,1.91,0,0,1.9,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,5.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,15.98,0,0,0,4.51,0,0,0,0.86,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,31.22,0,0,0,1.44,0,0,0,4.67,2.02,0,0,0
 72-82,0,0,0.75,0,2.58,0,0,17.87,0,1.4,8.92,0.68,0,0.72,21.61,1.3,0,0,12.35,0,5.53,2.61,5.34,3.85,0,0,0
 84-94,0,0,0,0,0,5.47,0,9.36,0.64,0,20.14,0,0,0,60.43,0,0,0,12.68,0.63,0,0.64,11.93,0,0,0,0
 96-106,2.68,0,0,0,0.72,5.37,0.9,8.64,0,13.63,37.61,1.51,0,0,35.93,5.45,0.68,1.25,14.1,0,2.37,3,1.57,0,0,0,0
108-118,0,0,0,0,0,0,0,1.4,1.29,5.27,50.97,0.75,0,0,42.98,0,0,2.76,15.33,0.45,5.3,1.68,4.63,2.16,1.87,0,7.22
120,0,0,0,0,0,0,0,0,0,3.6,17.68,0,6.44,0,26.71,5.26,0,0,26.21,4.51,35.09,0,1.58,0,0,0,0
