stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.05,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0
 10-12,4.08,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,2.27,0,0,0,0,0,0,0,0,138.12,33.71,2.89,0,0,0
 24-34,0,4.31,0,7.23,98.38,0,0,1.35,0,1.64,0,0,0,0.84,0,5.11,0,0,57.68,81.93,0,0,0,0,0,3.73,3.08,0,165.6,84.1,22.86,5.68,0,0
 36-46,0,1.57,0,2.79,136.28,0,0,0,0,0,0,0,0,0,0,1.83,8.3,0,40.21,85.4,1.16,0,0,7.09,0,0.94,1.05,0.67,140,11.45,11.71,0,0,0
 48-58,0,6.68,0,32.85,117.97,0,0,4.16,0,0.64,0,6.17,0.51,1.73,0,10.43,0,0,33.38,90.67,0.71,0,0.86,0,0,1.93,0,0,145.14,0,12.68,4.01,0,0
 60-70,0,0,0,37.77,80.37,0,0,0,0,0,0,2.48,0,0,0,20.55,0,0,23.77,51.78,0,0,0,0,0,6.28,0,0,76.49,0,10.34,0,0,8.4
 72-82,0,0,0.59,28.61,70.94,8.36,0,1.56,0,0,0,0,0,2.38,0,8.52,0,0,13.3,63.55,0,0,0,0,0,3.04,0,0,50.79,0,0,1.7,0,4.29
 84-94,0,0.88,6.68,42.85,85.51,0.59,0,7.73,0,0,0.75,0,0,0,2.42,7.89,0,0,16.92,61.71,0,1.31,0,0,0,13.75,0,0,57.93,0,10.11,0,0,0
 96-106,0,0.6,6.78,70.49,77.21,0,3.22,5.98,0,3.1,0.86,0.81,2.65,7.36,0,24.31,0,0,22.27,64.57,0,3.03,0.63,0,0,9.13,0,0,60.23,0,0,17.06,0.89,0
108-118,0,2.03,1.62,16.5,97.42,0.68,0,9.09,0,0,0.42,0,0,5.2,0,19,0,0,29.33,37.34,0.51,0.49,0,0,3.72,1.81,0,0,44.47,0,0,1.95,0,0
120,0,5.74,2.55,23.14,80.7,0,0,0,1.24,1.85,0,0,0,0,0,15.04,0,2.03,15.66,47.21,0,0,0,0,0,0,2.24,0,13.58,0,0,0,0,0
