stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,xanthophores
 10-12,0,0,0,0,0,0,0,0,43.33,0,0,0,0,0,0,0,0
 14-21,0,4.26,0,0,29.03,0,0,0,4.24,0,0.94,0.87,0,1.85,53.22,0,0
 24-34,0,0,0,0,22.68,0,0,0,7.67,7.99,0,0,0,6.17,54.03,0,0
 36-46,0,0,0,8.76,6.07,0,0,0,5.87,3.93,1.46,0,0,1.75,17.12,0,0
 48-58,0,0,0,0,7.97,0,0,0,3.19,9.03,0,0,0,4.03,16.65,0,0.47
 60-70,0,0,0,0,7.58,0,0,0,1.52,1.43,0,0,0,6.41,11.78,0,0
 72-82,4.3,0,9.81,0,5.06,0,0,0,3.33,0.97,0.59,0,0,0.73,1.7,0,0
 84-94,0,0,0,0,2.58,0.91,0,0,0.88,1.95,0,0,2.45,0.93,4.35,0,0
 96-106,0,0,0,0,29,0,0,0.57,1.01,2.29,0.62,0,0,0,7.49,2.04,0
108-118,1,0,7.42,0,17.37,0,1.25,0,0,5.39,0,0,0,0.78,1.76,0,0
120,1.37,0,0,0,5.15,0,0,0,0,5.3,7.79,0,0,0,0,0,0
