stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.94,399.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,0,0,0,0,0,0,0,0
  5-6,0,342.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,0,0,0,13.54,0,0,3.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.3,0,0,0,14.93,0,0,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0,3.11,6.95,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0
 14-21,0,0,26.69,2.93,0,1.12,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,3.08,0,0,0,30.9,0,0.86,0,0,0,0,0,1.92,0,29.34,0,0,0,0,0
 24-34,0,0,17.89,0,3.09,0,0,4.64,0,2.76,0,5.48,0,0,0,0,0,0,0,0,0,9.97,0,0,6.6,424.24,6.14,8.52,0,0,0,0,0,0,0,155.96,0,0,0,0,0
 36-46,0,0,1.98,0,5.88,0,0,5.89,0,5.86,0,6.1,0,0,0,0,0,1.21,1.6,0,10.74,3.4,0,0,1.52,695.76,1.15,10.35,2.41,0,0,4.54,0,2.14,0,189.58,0,0,0,0,0
 48-58,0,0,5.43,0,2.7,0.67,0,25.09,0,0,0,17.71,0,0,0.5,0,0,0.38,0.97,6.94,0,26.01,0.52,0,9.46,899.21,0.55,12.28,0,0,0,0,0,0,0,120.56,0,0,0,0,0
 60-70,0,0,6.95,0,16.98,1.7,0,140.86,0,2.12,0,23.58,0.62,0,0,0,0.62,0.67,0,0,0,47.15,0,0,1.98,1460.43,1.63,15.01,0,0,2.38,2.54,0,0,0,50.66,0.81,0,0,0,0
 72-82,0,0,16.69,0,20.84,27.24,0,303.57,0.71,0,1.66,47.11,8.39,0,1.32,0,0,2.77,1.62,0,0,87.12,1.48,0,1.76,2069.88,0,11.66,2.67,0,0.71,0,1.65,0,0,115.04,4.7,0,0,0,4.28
 84-94,0,0,15.55,0,17.79,26.68,0.72,213.62,1.16,0.56,9.02,32.82,12.89,0,1.06,0.64,0.55,0.67,0,0.83,0,81.19,10.27,1.38,3.01,1163.25,0,12.08,0,0,1.66,0,0,0,0,80.65,9.3,0,0.74,0,0
 96-106,0,0,7.98,0,34.39,54.9,2.35,171.62,4.11,0,2.03,42.99,11.68,0,0,0.89,0.8,0,1.2,0,0,48.05,0,0.92,2.77,1304.96,0.77,22,6.52,1.2,4.2,7.14,0,0,0.73,63.19,8.95,2.83,0,0,3.29
108-118,0,0,17.69,0.89,19.88,41.08,1.91,181.56,1.88,0,1.55,22.18,6.17,0,0,0,2.2,0,0.62,0,0,65.85,0,0,5.32,2160.28,1,9.54,3.65,0,0,2.75,0,0,0,26.52,3.77,0,1.44,0.56,0
120,0,0,11.27,0,27.15,29.91,0,164.05,0,0,0,32.85,0,0,0,0,3.6,0,0,27.27,0,90.28,0,2.61,0,5016.43,2.62,29.03,0,0,0,2.66,0,0,0,62.79,6.72,0,0,0,0
