stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.85,0.9,0,0,0,0,0,0,0,0,5.42,0,5.13,0,0,0,0,0.88,1.21,2.47,0,0,0
 24-34,0,2.9,0,0,0,1.71,0,0,0,0,3.22,2.12,10.78,4.42,0,0,0,0,0.61,3.2,0,0,0
 36-46,0.82,1.34,0.66,0.96,0,0,0,0,0,0,7.15,1.21,10.47,3.11,0,0,0,0,0,3.32,0,0,0
 48-58,0,3.63,0,0,0,0,0,6.27,0,0,3.91,0.87,9.68,6.27,0,0,0,0,0,1.48,0,0,0
 60-70,0.7,4.5,0,0,1,0.6,0,0.66,0,0,11.82,4.05,10.24,13.41,0,0,0,0,0,0,0,0,0
 72-82,0,2.75,0,1.78,0.99,0,0,3.64,0,0.82,31.97,0,16.9,24.6,0,0,0,0,0,0.54,0,0,0
 84-94,0,1.15,1.27,3.31,0,1.06,0,0,0,0,4.01,0,1.9,5.47,0,1.01,0,0,0,0,0,0,0
 96-106,0.63,0,0.64,0,2.7,0,0,2.85,0,0,17.06,0.76,5.01,20.47,0,0,0,0,0,0,1.81,0,2.2
108-118,1.96,0.44,0,2.56,0,0,0.42,1.18,1.15,0,23.31,0,6.54,17.9,0,0,0,0,0,0.94,8.1,0.5,0
120,0,0,0,0,1.21,0,0,0,0,0,15.5,0,6.07,27.72,8.73,0,3.15,0,0,0,0,0,0
