stage,blastomeres,epidermis,eye,mesenchyme,neural,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,7.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.74,0,1,0,0
 24-34,0,0,0,0,1.69,0,0,0,0
 36-46,0,0,0,0,1.19,0.75,0,0,0
 48-58,0,0,0.76,0,0,0,0,0,0
 60-70,0,0,0,1.63,1.4,0,0,0,0
 72-82,0,0,4.24,0.78,0,0,0,0,0
 96-106,0,6.12,0,0,0,0,0,2.45,1.26
108-118,0,0,0,0,3.63,0,0,0,0
120,0,0,0,3.31,0,0,0,0,0
