stage,axial,blastomeres,endoderm,eye,neural,paraxial.mesoderm,periderm
  3-4,0,12.74,0,0,0,0,0
  5-6,6.88,18.78,0,0,0,0,7.13
  7-9,0,0,0,3.23,15,3.78,0
 14-21,0,0,0.86,0,0.98,0,0
 48-58,0,0,0,0,0.79,0,0
