stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.13,75.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.25,0,0,0,0,0,0,0,5.27,0,0,0,0,0,0,0,0,0,46.28,0,0,0,34.05,0,16.34,0,0,0,0,0,0,0,0,0
 10-12,0,9.09,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.01,5.03,0,0,69,0,0,0,17.02,0,0,0,0,0,0,0
 14-21,0,0,0,0,30.89,6.45,1.93,0,0,109.85,0,0,0,0,0,0,1.26,17.11,0,0,0,152.28,4.16,2.41,26.07,7.45,3.21,4.6,9.37,109.07,1.36,1.81,363.99,0,0,0,0
 24-34,0,0,0,1.35,1.36,0,6.62,0,0,68.92,0,0,0,0,0,0,2,11.66,0,0,1.44,141.47,0.7,31.67,3.2,0,0,0,0,28.83,0,1.46,155.2,0,0,4.1,6.79
 36-46,0,0,0,0,1.02,0,16.43,0,0,83.66,0,0,0,0,0,0,12.74,8.56,0,0,0.72,151.42,0,35.56,0,0,0,0,0,15.34,0,0,144.58,0,0,0,40.8
 48-58,0,0,0,0,0.94,0,87.73,0,0,63.37,0,0,0,0,0.79,6.3,8.1,8.35,0,0,0.47,135.44,0,26.05,4.19,0,0,0,0,19.39,0,0,123.35,0,0,0.81,46.65
 60-70,0,0,0,0,1.79,0,284.99,0,0.63,70.26,0,0,0,0,1.55,0,14.87,12.15,0,1.71,0.94,137.51,0,23.79,11.39,0,0.75,0,0,4.89,0,0,67.48,0,1.03,0,50.92
 72-82,0,0,3.96,0,2.32,0,193.24,0,0,55.58,0.73,0,0.65,0,7.03,0,8.21,10.57,0,0.67,0,66.33,0,43.55,12.68,0,0,0,0,1.68,0,0,22.29,0,0,0,45.19
 84-94,0,0,2.1,0.89,0,0,225.97,0,0.74,51.37,2.38,0,0,0,4.2,0,11.71,11.61,2.12,0,1.94,40.45,0,23.87,23.96,0,0,1.4,0,4.14,0,0,22.03,0,0.58,0,35.85
 96-106,0,0,4.33,0.8,0.92,0,129.38,0,1.34,57.79,3.04,0,0,0,13.97,0,14.15,5.89,1.22,0.98,0.59,45.16,0,48.99,34.04,0,3.11,0,0,3.78,0,0,28.45,0,0,0,35.79
108-118,0,0,2.91,3.17,3.53,1,66.14,0.43,0,29.62,0,0,0,0.41,9.56,2.33,13.77,6.57,0,0,1.66,92.38,0,39.72,24.58,0,0,0,0,6.92,0,0,24.54,1.49,0,0,93.3
120,0,0,0,3.17,0,1.38,64.13,0,0,39.38,0,0,0,0,4.17,0,0,0,0,0,0,103.63,0,12.24,35.74,0,0,0,0,11.09,0,0,31.41,0,0,4.56,26.45
