stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,372.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,310.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,9.59,0,0,0,0,0,0
  7-9,0,0,0,0,14.34,0,0,0,0,0,0,0,0,0,0,0,76.76,0,0,30.93,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,26.87,0,0,67.08,0,3.78,0,0,0,0,0
 14-21,0,0,0,1.05,0,0,0,1.13,2.08,1.52,0,0,0,1.02,0,0,23.52,0,1.65,0,0,0,3.16,3.9,6.45,0,0
 24-34,0,0,0.96,0.83,3.05,0,0.83,0,0,0,0,0,0.62,0,0,0.75,47.5,0,0,0,0,0,0,0.64,6.09,0,0
 36-46,0,0,0,0,2.06,0,0,0.63,0,0,0,0,0,7.14,0,0,50.47,1.02,0,0,9.54,0,0,0,20.65,0,0
 48-58,0,0,0,7.83,7.05,0,0,1.48,0,0,0,0,0,2.26,0,0,18.75,0.94,0,0,0.77,0,0,0,10.04,0,0
 60-70,0,0,0,0,69.13,0,0,0,0,0,0,0,0,2.84,0,0,28.02,0,0,0,0.92,0,0,0,4.82,1.77,0
 72-82,0,0,0,0,182.5,0,0,0,0,0,0,0,0,2.95,0,0,21.58,0,0,0,0,0,0,0,3.26,0,0
 84-94,0,0,0,0,217.06,0,0,2.91,0,0,4.09,0,0,3.83,0.6,1.01,11.4,0,0,0,2.64,0,0,0,0,3.59,0
 96-106,0,0,1.56,1.12,197.03,0,0,1.06,0,0,0,1.03,0,5.26,0,0.59,32.87,0,0,0,0,0,0,0,0,0,4.75
108-118,0,0,0,1.94,172.02,0,0,1.62,0,0,0,0,0,5.93,0,1.1,25.01,0.42,0,0,0.51,0,0,0,0,0.65,0
120,0,0,0,0,241.63,1.06,0,0,5.71,7.84,0,0,0,21.17,0,0,167.77,0,0,0,0,0,0,0,0,0,0
