stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,57.85,109.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,69.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,4.83,0,7.57,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,28.3,15.59,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.51,0,0,0,14.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.18,0,0,0,35.35,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1.38,0.86,7.21,82.18,2.53,0,0,0,0,0.82,0,0.84,0,0,0,0,0,0,5.86,0,0,8.52,64.3,0.81,0,0,1.74,0,0,0,6.58,0,5.2,13.99,0,0,19.75,0,0
 24-34,0,0,0.67,0,0,4.66,23.04,0,0,0.9,3.03,0,0,1.13,0,0,0,0,0,0,3.75,0,0,0.6,151.02,0,0,0,0,0,0.75,0,0,0,0.6,22.94,0,0,73.54,0,4.29
 36-46,0,0,0,0,0,0,55.22,0,0,1.68,8.34,0,0,0,0,0,0,0,0,0,12.98,0,0,0.7,601.47,0,3.43,0,0,0,0,0,0,0,0,31.98,0,0,27.65,0,3.34
 48-58,0,0,0.59,0,1.29,0.6,238.92,0,0,0,23.09,0,2.79,0.65,0.52,0,0.67,0,0,0,10.95,0,0,0,720.23,0,0.73,0.7,0,0,0,0,0,0,0,41.88,0,0.64,33.06,0,0.8
 60-70,0,0,0,0,2.46,0,859.64,0,0,0.62,47.42,0,0.97,0,0,0,0,0,0,4.76,11.59,2.4,0,1.63,1136.1,0,0,0,0,0.84,0,0,0,3.6,0,68.13,0,0,58.43,0,0
 72-82,0,0,0.69,0,6.34,1.11,621.62,1.87,0.5,2.81,46.27,0,0,0,0,0,1.74,0,0.79,1.14,18.51,0,1.17,2.65,944.99,0,0,0.52,0,0,2.65,0,0,0,0,24.24,1.41,0.56,64.32,0.76,8.56
 84-94,0,0,4.26,0,9.21,1.03,450.83,0,0.63,8.31,45.57,0,0,0,0,0,4.53,0,0.82,2.17,11.51,0,0.55,2.6,577.54,0,0,0,0,0,1.01,0,0,0,0,17.38,7.23,0.88,69.94,0,2.09
 96-106,0,0,2.16,0,11.8,1.95,443.8,0.87,0.62,1.02,41.71,0,0,0,0.68,0.58,12.47,0,0,0,18.13,2.38,0,1.18,363.09,0,0,0,0,0,1.37,3.39,0,0,0,5.4,7.69,0,71.71,0,1.51
108-118,0,0,1.96,0,1.89,0,485.97,0,0,0.65,19.65,0.62,0,1.02,1.14,1.7,3.73,1.15,2.73,0.47,24.83,0,0,3.27,652.47,0,0,0,0,0,0.52,0,0,1.48,0,8.36,0.5,0,54.32,2.57,0.77
120,0,0,2.94,0,7.18,15.72,396.07,0,0,0,45.2,2.51,0,0,0,0,2.62,0,9.22,0,19.4,0,0,0,949.19,0,0,0,0,0,0,0,0,0,0,11.32,1.84,0,94.82,0,0
