stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.23,494.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0
  5-6,19.88,434.49,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,3.55,0,0,0,4.62,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,56.88,0,0,0,44.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67,0,0,0,28.53,0,0,0,5.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.89,0.83,0,0,0,0,0,0.9,0,0,0,0,0,7.33,0,0,0,3.73,8.13,0,0,0,0,0,8.4,0.89,0,0,1.16,0,0,0,0,0,0
 24-34,0,0,0,0,10.42,0,0,4.69,0,0,0,0.63,0,0,2.85,0,1.8,9.08,0,4.64,0,3.64,22.45,0.65,1.36,0,0,0,37.11,0,0,0,0.75,3.13,0,0,3.18,0,0
 36-46,0,0,0,0,22.62,0.73,0,7.28,0,0,0,0,1.36,0,0,0,0,0,3.85,0,0,0.87,24.12,0,0.66,0,0,0,26.29,0,0,0,0,15.57,0,0,0.57,0,0.9
 48-58,0,0,0,0,1.11,0,0,7.67,0,0,3.51,0,0.37,14.03,0,0,0,0,0,2.97,0,0,36.97,0,1.57,1.57,0,0,21.29,0,0.38,0,0,6.68,0,0,1.36,0,0.45
 60-70,0,0,0,0,4.73,0,0,24.17,0.82,0,3.08,2.81,0,0,0,0,0,0,0,12.57,0,1.61,38.55,0,0,0,0,0,14.09,0,0,0,0,11.59,0,0,6.35,0,0
 72-82,0,0,0.94,0,6.5,7.66,0,28.74,2.16,0.56,10.04,17.22,0,0,1.15,3.49,0.56,2.72,0.5,37.9,0,0,42.99,0.89,1.14,0.55,0,1.67,16.26,0,0,0,0,1.56,0.87,0.81,9.48,0.65,1.1
 84-94,0,0,0.66,0,10.87,14.44,0,16.72,5.26,0,10.14,35.8,0,1.42,1.95,0,0,0,0,11.92,0,1.32,19.48,0,0,4.2,0,0,52.9,0,0,0.62,0,10.03,0,1.05,3.53,0,0.61
 96-106,0,0,0.63,0,5.13,13.34,0,48.31,0,0,9.59,73.94,0,2.29,4.58,0,0,0,1.82,8.03,1.15,0,53.82,0,2.96,0,0,0,55.14,0,4.2,0,0,6.12,0,0,2.12,0,1.41
108-118,0,0,1.33,0,16.03,11.56,0,24.43,2.84,3.23,11.19,145.55,0,2.44,1.23,3.88,2.19,11.33,0,20.02,0,1.18,44.38,0.46,0,0,0,0,46.53,0,0,0,0,6.78,0,0,1.62,0,2.17
120,0,0,4.16,0,9.77,31.21,1.89,35.93,0,0,27.38,242.21,0,0,0,0,0,12.27,0,0,2.93,3.2,102.26,0,0,0,0,0,87.99,0,0,0,0,2.78,1.37,0,3.53,0,0
