stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,6.41,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0.99,0,0,2.34,0,1.71,1.75,0,0,0
 24-34,0,0,0.81,0,0,1.95,0,1.94,0.74,0,0,0,0,0,1.3,0,0,0,1.85,18.74,0,0,0,0,0,5.38,0,0,1.47,7.09,1.76,0,0
 36-46,0,0,0,0.76,0.76,3.08,0,4.08,5.97,3.21,0,0,0,0,0,0,8.69,0,2.45,59.48,0,1.86,0,0,0,1.67,0,0,0,5.45,0,0,0
 48-58,0,0,0,1.77,0,4.18,0,3.22,8.17,0.67,0,0,0,0,0,0,13.72,0,0.96,85.02,0.6,0,0,0,0,5.34,0,0,0,5.09,0,0,0
 60-70,0,0,0,0,0,15.48,0,7.11,1.73,1.93,0,5.24,0,0,0,0,19.03,0,1.7,127.17,4.14,0,0,0,2.03,0.59,0,0,0,5.38,0,0,0.72
 72-82,0,0,0.54,0,1.08,30.53,0,8.49,17.66,5.14,0,0,3.83,0,0,0.49,30.7,1.51,1.96,117.79,1.05,0,0,0,0,13.09,0,0,0,0.62,5.49,0,0
 84-94,0.62,0,0,3.13,0,29.75,0,12.04,5.07,0.91,0,0,0,0,0,0,22.76,0,0.81,71.07,0.68,0,0,0,0,2.96,0,9.81,0,7.63,0,1.97,0
 96-106,0,0,0,2.69,0,20.93,3.1,8.12,4.26,0.82,1.44,0,0,0,0,0,16.59,0,0,86.73,0,2.5,0.83,0,3.48,58.89,0,0,0,0,0.88,1.59,0
108-118,0,0,0,4.41,0,10.55,0,9.97,8.38,3.21,0.42,0,0,2.57,0,0,26.81,0,0,77.62,0.95,0,0.66,0,0,17.29,0,0,0,2.25,0,0.7,0
120,0,0,0,2.24,6.38,33.87,0,2.7,8.4,3.65,1.21,0,0,1.76,0,0,19.44,0,0,120.51,0,0,2.25,0,0,6.81,0,2.33,0,0,0,9.16,0
