stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,63.35,0,0,0,0,0,0,0
 10-12,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,19.26,0,0,9.06,0,0,0,0,0,0,0
 14-21,0,0,0.96,1.02,0,0,0,0,0,0,0,0,0,0,0,16.88,0.82,0,0,0,0,1,2.1,0,0,0
 24-34,0,0.71,0,0.88,0,2.68,0,0,0,0,0.71,0,0.93,0,0,656.18,0,2.37,0,0,0,0,61.2,0,0,0
 36-46,0,0,0,0,0,14.75,0,14.45,0,0,0,0,2.07,0,0,1723,0.56,1.76,0,0,0,0,133.08,0,0.94,0
 48-58,0,0,0,0,0,61.98,0,43.91,0,0,0.42,5.05,1.23,0,0.79,1084.86,4.4,0,0,0,0,0,136.37,0,0,0
 60-70,0,0,0,0.64,0,36.12,0.86,42.37,0.6,0,0,0,10.52,0,0.71,549.59,0,0,0,0,0,0,40.56,0,0,0
 72-82,0,0,0,0,0,87.59,0,11.77,0,0,0,0,2.89,0,0,222.06,0,0.5,0,0,0,0,15.92,1.42,0,0
 84-94,0,0.81,0,6.81,0,117.73,0,14.44,0,0,0,0,4.73,0,0,132.62,0,0,0,0,0.56,0,24.42,0,5.09,2.9
 96-106,0,0,0,3.66,10.22,375.36,1.54,4.21,0,0,0,0,0,0,0,90.03,0,0,0,3.6,0,0,7.87,0,0,0
108-118,0,0,0,2.77,0,376.98,0,3.77,0,5.97,0,0,0,0,0,91.77,0,0.66,0,0,0,0,2.21,0,0,0
120,0,0,0,1.31,0,501.75,0,0,1.88,0,0,0,0,2.35,0,101.82,2.7,2.15,0,0,0,0,0,0,0,0
