stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,51.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.27,99.28,0,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,0,9.04,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,3.67,0,0,7.84,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,12.21,0,0,0,0,0,0,0
 14-21,0,0,0.93,4.61,1.07,4.1,0,0,0,0,0,1.46,0,1.06,56.1,0,0.87,0,1.09,0,5.19,2.64,4.69
 24-34,0,0,0,0.6,0,4.22,1.56,1.97,0.75,0,0.62,3.51,0,0,51.46,0,0.96,0,0,1.07,0,0,10.28
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,19.6,0,1.78,0,0,0,0,0,5.81
 48-58,0,0,0,0,0,6.4,1.1,0.88,0,0,0,0,0,0.43,14.71,0,0,0,0,0,0,0,5.63
 60-70,0,0,0,0,0,6.27,4.71,0,0,0.77,0,1.93,0.71,0,14.31,0,0,0,0,0,0,0,6.9
 72-82,0,0,0,0,0,0.49,0.54,0,0,0,0,1.99,0,0.69,1.07,0,0,0.79,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0.98,8.33,0,0,2.51,0,0,0,0,0
 96-106,0,0,0,0,0,0.57,0.94,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1,0,0,0,0,0.81,0,0,1.9,0,0,0,0,0,0,0,0
