stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,3.25,0,0,0,0,0,0
 14-21,12.84,0.86,0,0,0,0,0,0,0,0,0,0,0.9,0,0.95,0,0,0,0,0,0,0,0
 24-34,6.12,0,0,2.59,0,0,0,0,1.32,0,0,0,0,0,0.75,0.93,0,1.36,0.73,0,0,1.63,0
 36-46,4.06,0,2.53,0.58,0,0,0,0,1.03,0,0,0,0.86,0,0,3.19,0,0,0,0,1.02,2.32,0
 48-58,15.36,0,0,5.79,0.66,0.53,0,0,9.89,0,0,0,0,0,0.94,1.99,0,0,1.05,2.82,0,2.33,0
 60-70,5.76,0,2.91,11.76,0,0,0,0,7.24,0.78,0,0,1.73,0,0,7.28,0,0,5.47,0,0,6.4,0
 72-82,15.85,2.85,2.64,0.55,0,1.45,1.75,0,13.77,0,0,0,1.11,0,0.73,4.23,0,0,1.97,0,0,5.04,0
 84-94,18.51,0,8.26,7.49,1.01,0,0.8,0,20.77,0,0,0,2.13,0,0,16.57,0,0,1.77,0,0,0,1.74
 96-106,15.53,0.79,1.18,5.2,2.93,0,0,0,29.22,0,0.63,0,3.05,0,0.89,0,0,0,0,0,0,7.73,2.39
108-118,27.52,2.72,0,10.69,1.16,0,0.41,0,21.06,0,0.86,0.72,4.94,0.94,0.85,3.61,0,0.51,2.27,0,0,1.3,0
120,41.61,0,14.84,24.21,4.45,0,0,8.26,27.16,0,0,0,9.31,0,0,2.22,0,0,10.33,0,0,7.29,0
