stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.97,0,0,0,3.76,3.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,3.39,0,0,4.27,0,0,0,0,0,0,0,0
 14-21,0,2.44,0.96,27.43,0,0,0,0,0,1.08,0,0,0.81,16.84,0,0,0,0,0,0,0,0.9,7.85,0.9,0,0,0,0,0,2.49,0.87,0,1.14,0,0
 24-34,0,0,0,15.57,0,0,1.64,0,0,0,4.77,0,8.68,35.37,0,0,0,0,1.03,3.96,0,0.89,26.26,0,0.76,0,0,3.79,0,0,4.97,0,0,0,0
 36-46,0,0,0,9.23,0,0.68,2.33,0,0,0.97,0,0,5.82,15.15,0,1.71,0,0,1.77,7.22,0,0,56.04,0,0,0,0,3.56,0,0,0.82,0,0,0,0
 48-58,0,0,0,6.27,0,1.46,3.01,1.27,0,1.47,4.49,0,1.2,13.3,0,3.77,0,0,3.34,6,0,0,31.8,0,0,0,0,5.94,0,0,2.53,0,0.4,0,1.9
 60-70,0,0,0,9.74,0,1.51,4.92,0,0.97,0,0,0,4.6,2.77,0,14.07,0,0,12.25,10.67,0,0.77,46.83,0,0,9.76,0,11.03,0,0,0,0,0,0,0
 72-82,0,0.78,0,12.3,7.69,1.9,2.88,0,11.4,9.84,0,0,12.8,10.13,0,9.18,0,0,13.31,26.68,1.81,0,85.72,0,1.18,0,0,17.55,0,0,7.56,0,0,0,0
 84-94,0,0.56,0,18.87,0,6.41,3.73,0,3.61,17.53,0,0,12.02,24.43,0.75,9.98,1.64,0.95,15.08,27.15,0,0,96.22,0,3.38,0,0,18.01,0,0,9.28,2,1.62,0,0
 96-106,0,0.56,0,43.59,8.38,9.84,1.18,2.61,11.77,17.51,1.06,0.88,33.45,16.67,0,16.14,0,0,19.63,47.45,0,0.95,83.26,0,2.6,9.73,0,7.86,0.7,0,3.41,5.35,0.57,0.61,1.4
108-118,0,1.76,0,29.9,0,11.67,4.87,7.92,4.82,28.75,0,0,29.48,31.57,0.43,5.91,1.79,0,9.36,27.17,0,0,110.23,0,0,0.45,0,10.62,0,0,0,7.99,0,0,0
120,0,0,0,32.52,0,10.76,8.07,19.92,7.6,33.66,0,0,49.83,20.17,0,12.01,0,0,6.93,18.09,0,0,270.71,0,0,4.69,0,18.14,0,0,0,1.37,1.09,0,0
