stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,71.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.54,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.72,2.59,0.9,0,0,0,0,1.16,0.97,0,6.97,0,0,0,1.01,2.54,1.86,0,1.01,6.92,0,0,1.04,0,9.02,5.24,0.86,0,0.91,6.25,0,0,1.62,0,4.47
 24-34,0,0,0,15.46,0,4.93,0,0,1.02,1.97,0,1.47,1.01,18.81,0.8,0,4.66,0,9.82,0,0,8.55,148.85,1.34,5.45,1.8,0,25.96,0,1.7,0,0,37.93,0,0,10.12,0,7.43
 36-46,0,0,0,5.46,0.67,5.19,0,0.89,0.6,7.66,0,0.63,1.85,2.57,0,0,0.57,3.35,13.2,0,0,2.9,82.64,1.61,10.64,0,0,59.86,0,1.61,0,0,28.96,0,0,9.47,0,1.96
 48-58,0,0,0,1.75,0,21.37,0,3.03,1.51,6.57,0,1.36,5.43,8.24,0,0,0,5.78,12.45,1.17,0,11.18,71.24,0,3.49,0,0,19.38,0,0,0,0,16.35,0,0,0,0,20.63
 60-70,0,0,0,11.65,0,51.88,0,2.41,0.86,14.32,1.38,0,4.77,4.25,0.78,0.72,0,7.5,9.21,0,0,2.3,80.34,0,2.56,0,0,28.64,0,3.81,1.58,0,12.51,1.44,0,1.17,0,17.85
 72-82,0,0.93,0,14.6,0,64.26,0,0,1.99,21.72,0,3.37,3.41,1.71,3.71,1,0,3.32,65.77,0,2.06,3.43,55.26,0,6.55,0,1.89,12.96,0,0,0,0,3.27,1.75,0,5.93,3.82,8.47
 84-94,0,4.51,1.01,9.11,0,16.64,0.7,3.07,0,12.53,0,4.95,15.5,1.31,4.64,0.66,0.68,5.09,50.51,0,1.74,3.03,21.1,1.17,9.8,2.15,5.52,59.56,0,0.7,0,0,7.98,5.88,3.14,20.37,2.23,12.86
 96-106,0,1.1,0,12.41,0,24.95,0,0.76,0,19.19,3.45,1.64,10.91,1.3,2.73,2.39,1.22,0.65,29.44,1.11,0,2.13,56.51,0,10.58,0,1.03,50.65,0,0,0.64,0,11.77,0,2.45,5.79,2.56,15.34
108-118,0,1.29,0,19.96,1.98,9.91,0,7.57,0.94,27.86,4.31,0.61,21.69,2.35,2.97,2.81,0.92,4.67,33.37,0,0.94,7.67,45.68,0.48,4.25,0,10.23,67.18,0,0,0,0,3.8,2.94,0,5.47,2.2,35.09
120,0,0,0,17.44,0,5.16,2.98,0,0,15.39,9.25,4.46,30.91,3.52,4.06,2.85,3.32,0,42.97,2.05,10,1.9,26.14,0,16.82,1.76,0,63.88,0,0,0,0,21.55,8.5,0,9.23,3.35,21.2
