stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,13.38,7279.41,6.67,0,129.48,0,14.13,0,58.64,1.88,0.85,0,0,19.11,0,16.83,0,0,56.96,12.58,0,34.07,2883.36,11.08,2.47,144.91,23.61,0,8.2,0.91,9.38,2.82,2.42,27.75,594.63,0,0,1.07,0,0
 24-34,0,15.81,5109.62,0,0,147.11,0.72,197.33,3.64,130.38,0,0,1.45,1.36,7.43,0,51.08,1.77,1.75,87.25,61.49,0,90.97,3011.12,11.42,97.68,148.7,0,0,38.37,0,0,0,5.72,3.97,902.43,0,0,18.8,0,0
 36-46,0,3.37,3382.49,0,0,163.98,0,355.95,4.13,119.74,0,0,0,0,1.71,0.74,21.76,16.94,15.12,118.88,39.46,0,82.31,1687.2,0.84,96.77,120.59,0,0,22.82,0.74,0,11.55,2.73,0,629.62,0,0,11.08,0,2.84
 48-58,0,7.63,1652.29,0,0,341.7,0,207.37,6.07,137.4,3.22,0.52,0,0.92,5.08,0.51,26,0.55,0.4,154.91,16.09,1.52,23.44,638.69,0,30.64,56.47,0,0,22.91,0,0,0,0,0,200.67,0,0,2.44,0,0
 60-70,0,2.04,1657.28,3.52,0,283.52,0.71,163.55,3.94,141.51,14.3,0,0,0,16.77,0,28.65,3.73,8.16,166.93,23.42,0,11.71,346.21,3.13,36.05,40.04,0,1.19,6.19,0,0,0,0.64,0,31.58,6.11,2.28,0,0,5.35
 72-82,0,1.76,1009.91,0.67,0,204.07,4.91,61.74,2.94,133.27,36.3,0,0,0,13.22,1.08,50.95,0,0,101.63,6.57,2.15,5.3,142.77,0,25.5,74.42,0,1.12,8.41,0,0,0,0,0,18.47,75.48,0.81,0.94,0.93,27.22
 84-94,0,1.91,1655.04,3.7,1.24,186.37,2.37,127.73,0.89,71.88,131.11,0,1.27,0,44.06,0.96,64.87,0,0,89.91,13.45,5.02,11.23,139.79,0,77.8,65.93,0,4.14,13.3,0,0,0,0,0,0,323.26,1.95,0,0,0
 96-106,0,0.97,1473.16,12.82,3.86,153.34,0,112.59,6.36,93.8,121.25,0,0,0,53.95,0.74,112.23,2.16,0,78.54,11.76,8.71,2.33,237.85,0,115.6,66.97,0,7.61,15.05,0,0,0,0.6,0,6.29,468.52,2.68,1.59,0,0
108-118,4.37,6.68,1283.86,2.25,3.57,121.25,0,121.1,6.98,92.77,108.48,0,0,3.35,21.81,0,165.17,1.62,0,62.24,7.93,16.93,1.09,260.4,1.33,103.58,139.17,0,4.57,4.1,0,0,2.75,0,0,6.31,667.04,9.55,0.59,0,1.8
120,2.23,5.11,838.54,3.62,0,144.27,7.29,53.23,0,25.28,41.66,0,0,1.89,19.64,0,69.76,0,0,48.35,10.15,0,1.22,256.34,1.03,51.45,81.03,0,14.12,2.5,0,0,0,0,0,0,153.24,14.44,0,0,0
