stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.88,11.66,0,0,0,0,0,0,0,0,0,0,0,0,1.08,1.04,0,0,0.89,4.23,6.62,0,0.89,1.78,0,0,3.89,13.41,0,0,0
 24-34,0,8.61,0.66,0,0,0.72,0,0,0,0,0,0.86,0,0,0,11.26,0,0,6.87,15.68,2.96,0,5.95,0,3.13,0,0,6.82,7.67,0,0
 36-46,0,0.84,0,3.86,0,0.58,3.85,0.77,0,0,0,0.6,0,0,0,16.7,0,0,3.44,40.13,4.02,0,1.9,0,4.41,1.34,0,7.86,16.91,0,0
 48-58,0,0.54,0,10.71,0,0,0.43,0,0,0.49,0,0,0,1.27,0,5.89,0,0,3.59,28.57,1.5,0.91,4.29,0,0.51,0,0,3.95,0,0,1.08
 60-70,0,10.3,0,3.13,0.95,9.78,0.87,0,0,0,0,0.59,0,0.94,0,5.22,0,0,2.21,24.86,2.93,0,18.92,0,4.3,0,0,3.87,0.99,0,0
 72-82,0,2.43,0,18.91,0,0,2.44,15.53,0,0,0,0,0.93,3.14,0,7.1,0,1.36,1.73,29.65,0.73,0,17.46,0,0.66,0,0,12.81,11.01,2.24,0
 84-94,0,3.94,4.22,14.18,0,0,0,0.64,0,0.99,0,0.58,0,6.91,0,2.27,2.88,0,0,9.79,0.76,0,35.54,0,5.04,0,0,0.63,0,0,1.41
 96-106,0,11.65,0,4.3,0,0.9,7.98,8.61,0.67,0,0,0,0,11.13,0,9.6,1.11,0,0,10.46,0.59,0.59,33.28,0,8.07,0,0,0,0,2.95,0
108-118,0,6.82,0,9.63,0,2.07,6.06,6.5,0.5,0,0.66,0,0,4.16,0,11.47,3.25,0,0,4.12,0,0,25.14,0,5.31,0,0,2.76,0,0,4.03
120,0,0,1.6,15.87,0,0,2.45,15.42,1.73,0,1.53,0,0,4.05,0,12.94,0,8.42,0,24.64,2.06,3.8,49.84,0,3.41,0,0,0,28.48,0,0
