stage,epidermis,eye,glial,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,18.49,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.29,0,0,0,0,0
 14-21,0,0,0,2.57,0,0,0,0,0,0,0,0,0,0
 24-34,0.79,1.58,0,5.74,2.32,0,0,0,39.01,0.9,0,0,1.04,2.02
 36-46,4.4,0,0,8.26,0,0,0,0,59.55,0,0,0,0,0
 48-58,0,7.33,0,0,1.3,0,0,0,58.12,0,4.52,0,2.29,0
 60-70,0,5.08,0,0,0,0,0,0,40.02,0,0,0,1.13,2.55
 72-82,1.12,16.4,0,0,2.85,0,0,0,59.26,0,0,0,0,1.72
 84-94,0,2.19,0.75,0,0.74,0,0,0,51.94,0,0,0,0,3.36
 96-106,0,5.8,0,0,0,0,0,0,38.49,0.57,0.6,0,0,0.72
108-118,1.69,34.24,0,0.44,0,0.91,2.4,0,63.1,0,0,1.88,0,2.06
120,0,55.46,0,0,6.84,0,0,11.74,46,0,0,0,52.08,0
