stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,94.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.14,103.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.51,7.46,0,3.85,0,0,0,52.35,0,0,0,0,18.95,0,0,0,0,0,0,0,0,0,0,428.25,6.68,0,0,103.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,30.6,0,5.34,0,32.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.96,6.18,0,0,119.71,0,0,0,12.11,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,2.27,13.59,2.14,0,1.18,0,0,0.98,0,0,0,0,0,0,0,0,0,13.87,0,6.7,66.13,2.99,0.83,0,1.72,0,4.1,11.35,0.94,1.07,15.53,14.24,0,0,3.44,0,0
 24-34,0,0,0,0.81,2.09,0.61,0,14.96,0,0,3.18,0,0,1.79,0,0,0,0,1.2,0,25.58,0,4.61,78.49,0.63,1.79,0.69,0,0,10.95,0,0,0,1.32,21.39,0,0,10.93,0,0.63
 36-46,0,0,0,0,0,0,0,7.13,0,0.64,7.94,0,0,0.88,0,0,0,0,2.43,0.8,18.2,0,1.93,68.63,0,0.6,0,0,0,3.57,0,1.81,0,0,26.48,0,0,1.6,0,0.64
 48-58,0,0,0,0,0.97,0,0,14.7,1.15,0.69,6.16,0,0,0,0,0,0.46,0,0,0,9.85,0.81,1.87,56.34,0.77,0.85,0.89,0,0,4.35,0,0,0,0,16.28,0,0,3.38,0,0.66
 60-70,0,0,0,0,0.7,0,0,42.62,2.46,0,7.65,2.72,0,4.79,0,0,0,0.73,0,9.3,14.4,0,3.03,63.17,0,1.29,0,0,0,4.34,0,0,0,0,8.49,0,0,0.76,0,4.8
 72-82,0,0,0,0,0.55,0,0,9.06,1.57,0,3.91,0,0,0.6,0.8,0,0,0.61,0,0,13.11,0,5.63,38.67,0,1.15,0,0,0,2.88,0,0,0,0,3.82,0.69,0,4.18,0.71,0
 84-94,0,0,0,0,2.84,0,0,9.57,1.11,0,7.39,0,1.3,0,0.77,0.69,2.45,2.41,0,0.73,12.35,1.79,1.27,30.02,0,0,0,0,0,3.51,0,0,0,0,7.27,0,0,1.98,0,0.59
 96-106,0,0,0,0,0,0,3.15,11.85,0,0.85,12.37,1.41,0,0,0.72,0.7,0,0,0,0,13.42,0,0.6,15.94,0.59,0.56,0,0,0,2.29,0,0,0,0,0,0.71,0,1.61,0,0.62
108-118,0,0,1.15,0.49,0.61,1.1,0,18.01,0,0.47,5.41,0.46,0,0.43,0,0,0.42,0.69,0.45,0.66,13.4,0,0,19.3,0,0.84,0,0,2.53,3.12,0,0,0,0,2.28,0,3.26,2.17,0,2.61
120,0,0,0,0,3.11,0,0,5.46,0,4.91,20.15,1.92,0,0,0,0,0,0,0,0,36.09,0,0,30.65,0,1.61,0,0,0,3.72,0,0,0,0,10.36,0,0,13.06,0,0
