stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.99,1519.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0
  5-6,143.55,1824.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.04,0,0,0,15.93,46.49,0,0,0,0,0,0,0,0,0,0
  7-9,35.1,125.5,120.66,0,0,0,161.99,0,0,0,0,0,90.31,0,0,0,0,0,0,0,0,0,0,0,1999.07,40.61,0,0,628.87,5.78,63.14,0,0,0,0,0,0,0,0,0
 10-12,4.89,38.93,64.63,0,6.05,0,99.99,0,0,0,0,0,40.51,0,0,0,0,0,0,0,0,0,0,0,1272.92,17.45,0,0,609.76,4.49,22.45,4.43,47.37,0,0,0,0,0,0,0
 14-21,0,0,5.51,38.81,4.9,0,12.41,0,0.82,0,8.12,0,13.25,4.13,0,0,0,0,4.17,0,24.55,0,0,11.08,292.87,1.79,2,8.59,3.91,19.79,0.9,20.38,1.65,2.46,24.54,77.41,0,0.81,0,0
 24-34,0,0,0,10.24,1.87,0,73.59,0,1.37,0,12.43,0,2.51,3.5,0,0,0.63,0.86,0,2.72,44.45,0,0.89,12.01,613.75,1.28,7.21,4.77,0,25.46,0,0,0,0,2.56,104.54,0,17.13,0,0.79
 36-46,0,0,0,10.08,2.49,0,271.78,2.41,0,0,16.19,0,0,0,0,0,13.07,0,0,0,57.35,0,2.41,13.16,606.85,2.9,8.4,0.75,0,27.1,0,0,0,0,0,95.98,0,10.29,0,1.43
 48-58,0,0,0,5.58,0,0,304.11,0,0.8,0,12.88,0,0,1.99,0,0,0.38,0,7.32,0.91,40.76,0,7.73,5.76,277.17,1.77,0,0.39,0,3,0,0,0,0.46,0,31.6,0,10.44,0,0
 60-70,0,0,0,8.45,4.5,0,278.53,0,0,0,14.25,0.91,0,0,13.16,0,0.85,1.26,0,0,67.64,0,1.7,4.28,193.29,0,1.22,0,0,6.86,0,0,0,0,0,10.35,0,0.93,0,2.1
 72-82,0,0,0,3.38,2.49,0,63.31,0,0,0,11.7,0.84,0,0,0,0,0,0,0,0,26.14,0,1.42,10.6,73.14,0,0,0.55,0,2.85,0,0,0,0,0,8.15,0,4.78,0,0
 84-94,0,0,0,9.78,2.13,0,77.87,0,2.62,1.01,12,1.34,0,0,0,0.76,0,0.81,9.04,0,28.06,1.21,3.11,2.94,74.67,0.93,7.88,4.58,0,5.79,0,0,0,0,0,0.58,0,9.9,0,0
 96-106,0,0,0,9.89,0,0,35.91,0,0,0,7.48,1.16,0,0,0.59,0,0,0.66,0,0,14.91,0,0.68,0.76,45,0,0,0,0,3.7,0,0,0,0,0,3.47,1.17,2.28,0.74,0
108-118,0,0,0,2.26,8.62,0.59,37.12,0,0,0,14.04,0,0,0,1.24,0,0,0,1.44,0.58,6.26,0,1.08,0,60.21,0,0.72,0,0,3.86,0,0,0,0,0,0,0.5,0,1.31,0
120,0,0,0,1.56,6.28,0,102.8,0,0,0,9.5,0,0,0,3.19,0,0,0,0,0,14.55,0,2.08,8.17,87.48,0,0,0,0,9.42,0,0,0,0,0,0,0,1.09,0,0
