stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,19.82,193.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.27,171.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,12.99,0,0,4.79,0,0,93.38,0,0,43.87,0,0,0,0,0,0,0
 10-12,0,0,0,4.67,14.25,0,0,0,0,0,140.49,0,0,29.13,0,7.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.93,0.92,6.95,0,0,0.85,0,0,0,1.15,2.06,0,0
 24-34,0,0,0,0,0.79,0,0,0,1.56,0,2.26,0,0,0,4.23,0,0,0.84,3.26,0,0
 36-46,0,0,0,0,0.6,0,0,0,0.84,0,6.96,0,0,0,0,0,0,0,1.52,0,0
 48-58,0,0,2.99,0,0.52,0,2.96,0,0.87,0.51,5.39,0,0,0,0,0,0.4,0,0,1.18,0
 60-70,0,0,0,0,0.73,0,0,0,2.59,0,6.03,0.84,0.77,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.64,6.12,2.8,0,0.88,0,0.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.59,0,3.65,0,0,0,0,0,0.66,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.36,0,0,0,0,1.36,0,0,0.76,0,0,0,0,0.57,0
108-118,0,0,1.93,0,0,0,0,0,1.6,0,0.47,0,0,0,0,0,0,0,0,0,1.62
