stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,1.1,4.65,0,0,4.12,0,3,1,0,0,0,0,0,0,3.39,0,1.7,53.09,0,0,0,0,1.88,3.5,0,2.24,5.88,0,0
 24-34,0,0.59,4.54,1.91,0,39.85,0,5.82,0,0,0,0,2.39,0.78,0,39.54,0.81,12.33,395.11,0.99,3.28,3.17,0,6.37,0,0,1.14,68.48,4.51,0
 36-46,0,0,1.3,1.06,0,66.99,0,1.52,0,0,0.68,0,0,0,0,30.76,0,2.32,182.27,0,0,1.19,0,8.39,0,2.03,0,26.33,0,0
 48-58,0,1.75,12.88,2.13,0,72.96,0.4,2.07,0,0,0,0,0,0.49,0,10.76,0,9,106.23,7.29,0,0.37,0,0,0,0,0,15.75,3.75,0
 60-70,0.65,0,13.75,0.7,0,81.93,0,4.6,0,0.92,0.72,0.61,0.67,2.21,0,25.67,0,6.02,54.8,2.54,0,1.12,0,2.5,0,1.87,0,2.2,0,2.52
 72-82,0,0,0,0,0,23.81,0,7.28,0,0,1.55,0,0,0,0,11.16,0,0,16.16,0,0,0.53,0,0,0,0,0,0,1.04,0
 84-94,0,0,0,0,0,13.72,0,2.07,0,0,0.93,0,0,0,0,10.3,1.42,2.38,21.69,0,0,0,1.01,0,0,0,0,0.95,1.31,0
 96-106,0,0,1.67,0,0,4.69,0,0,0,0,0,0,0.72,0,0,3.53,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.42,0.53,0.85,11.74,0,0,0,0,2.09,0,0,0,0.43,2.84,1.62,0,14.31,0,0,0,0,0,0,0,0,0,0.64,0
120,0,0,0,2.92,0,10.63,0,3.38,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0
