stage,endocrine_pancreas,epidermis,eye,glial,hatching_gland,heart,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  7-9,0,0,5.42,0,0,0,0,0,0,0,11.1,0,0,0,0
 10-12,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.81,0,0,0,0,0,0,1.22,2.52,0,0,1.01,1.08,0
 24-34,0,0,0,0,0,0,1.29,0,13.73,2.3,0,1.28,0,0,0.6
 36-46,0,0.8,0,0,1.6,0,0,0,4.01,22,0,0,0,0,14.33
 48-58,0,0,0,0,0,0,0,0,31.87,1.42,0,1.51,0,0,5.3
 60-70,0,0.62,1.01,0.97,0,0,0,0,7.09,0,0,0,0,0,7.58
 72-82,0.78,0,2.82,0,0,0.58,0,0,6.06,0,0,0,0,0,2.12
 84-94,0,0,5.82,0,0,0,0,0,6.41,0,0,0,0,0,1.8
 96-106,0,0,0.61,0.6,0,0,0,0.66,9.13,0.58,0,0.64,0,0,1.86
108-118,1.57,0,0,0,0,0,0,0,7.47,0.62,0,0.44,0,0,2.91
120,0,0,19.61,1.76,0,0,0,0,47.44,0,0,0,0,0,0
