stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.83,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,6.48,0,3.62,0,0,0,0,0,0,0
 10-12,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.86,0,17.68,6.84,0,0,0,0,0,0
 14-21,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0.98,1.81,0,0,0,0.82,0.81,0,0,0,0
 24-34,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0.73,9.93,0,0,0.67,0,4.97,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,1.72,0,1.44,0,0,31.58,0,0,9.78,0,1.73,0,0,0,0
 48-58,0,0,0,0,0,0,0,13.38,0,1.5,0,0.59,0.73,0,0,1.78,0,2.65,0.58,0,183.54,1.98,0,6.19,0,8.75,0,0,0,0
 60-70,0,0,0,0,0,1.04,0,15.37,0,0.86,0,0,0,0,0,0,7.35,6.71,0,0.77,669.61,3.31,0,6.91,0,23.91,0,0,1.34,0
 72-82,0,0,0,0,4.23,0.98,0,31.67,0,0,0,0,0.53,0,0,2.85,0,11.6,0.7,0,603.1,2.19,0,1.06,0,6.76,0,0,0.73,1.66
 84-94,0,0,2.57,0,0,0,0,19.48,0,1.19,0,0,0,0,0,0.86,5.43,5.61,3.76,0,349.08,8.38,0,5.3,0,0,0,0,0.93,0
 96-106,0,0,0,0,2.11,0,0,29.89,0,0,0,0,0,0.9,0.92,0.62,0,16.97,0,0,159.6,1.34,0,0,0,1.25,1.22,2.06,1.44,0
108-118,0,0,0,0,2.45,0,2.73,12.08,0,0,0,0,0,0,0.73,3.23,0,18.86,1.29,0,166.98,0,0,0.5,0,1.92,0.68,0,0.94,0
120,0,0,0,0,1.07,0,0,12.85,1.6,0,0,0,0,0,0,0,0,13.77,0,0,115.64,0,0,2.72,0,0,0,0,19.01,0
