stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.46,965.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.04,0,0,0,0,0,0,0,0
  5-6,0,135.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31,0,10.56,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.86,4.63,1.16,1.1,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0.95,13.12,0,0.81,11.36,3.12,0.84,4.93,4.09,0,0,0,0
 24-34,0,0,0,0.61,0,0.68,0,0,0,0,0,0,0,0,0,0,0.68,0,0,1.52,12.52,0,0,18.01,0,0,0,2.8,0,0,0,0
 36-46,0,0,0,0,0,0.63,0,1.17,0,0,0,0,0,0,0,0,6.75,0,0,0.98,19.31,0,0,18.43,0,0,0,4.72,0.85,0,0,0
 48-58,0,0,0,0,0,4.42,2.94,0,0.51,1.26,0,0,0,0,0,0,4.92,0,0,3.07,18.52,0.43,0,5.79,0,0,0,2.83,0,0,0,0
 60-70,0,0,0,2.17,0,8.48,0,0,1.48,0,0,3,0,0,0,0,1.79,1.27,0,1.87,8.24,0,0,4.4,0,0,0,2.41,0,0,0,1.17
 72-82,0,0,0,0,7.25,9.89,0,0,2.36,0,0,0,2.21,0,2.88,0,6.19,0,0,0,13.13,0,0,0,0,0,0,0,0,1.31,0,0
 84-94,0,0,0,0,4.05,2.34,0,0,1.33,0,0.6,0,0,0,0,0,4.81,0,0,0,0,1.25,0,26.44,0,0,0,0,0,1.2,0,0
 96-106,0,0,0,5.77,3.62,7,0,0,0,0.93,0,0,0.57,1,0,0,6.54,0,2.28,0,0.8,0,0,12.04,0,0,0,0,0,5.02,0,1.89
108-118,0,0,0,0.47,0,18.61,0.53,0,2.18,0,0,0,0,0,0.41,0.56,9.72,0,0,2.52,12.76,0,0,19.05,0,0.78,0,0.96,0,4.49,1.93,0
120,0,0,0,0,1.89,4,0,0,0,0,0,0,0,0,3.15,0,8.94,0,0,0,0,0,0,3.98,0,0,0,0,0,0,2.01,0
