stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,5.34,0,0,15.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.62,0,0,0.96,0,0,0,0,1.28,0,2.13,0,0,0,0,0,3.29,0,0,0,28.46,24.18,2.02,0,0,0,1.01,1.98,2.39,5.15,13.42,0,0,0,0,0
 24-34,0,0,2.69,0,0,27.43,11.07,0,0,0,0,1.08,0.79,0,0,0,0.86,0,0.85,0,0,18.83,167.78,1.99,83.63,12.04,0,0.73,0,1.67,10.29,33.91,158.57,0,0,0,0,0
 36-46,0,0,2.87,0,0,10.8,17.34,0,0.95,3.19,0,0,1.45,0,8.67,0,2.48,0,4.19,0.77,0,16,244.41,0,108.83,13.5,21.27,2.6,0,1.41,0.79,8.3,434.81,0,0,0,0,4.52
 48-58,0,0,10.48,0,0,64.64,12.09,0.39,0,14.25,0,0.81,1.28,0,0,0.39,4.97,0,9.1,4.43,0,46.39,478.26,0,73.07,31.12,0,6.43,0,0,2.93,0,457.75,0,0,1.04,0,0
 60-70,0,0,1.9,0,0,210.07,6,1.33,2.1,7.03,0,0.63,0,0.8,0,0,6.53,0,2.27,11.35,0.93,17.35,413.34,0.66,49.58,23.21,0,2.71,0,0,6.55,0,283.66,0.81,0,9.48,0,0
 72-82,5.08,0,1.34,0,0,387.22,19.43,1.57,0,30.36,9.25,0,0,0,1.75,0.57,4.01,0,18.55,28.15,0.67,24.55,638.08,0,99.28,27.52,0,11.94,0,0,6.15,0,267.35,6.55,0,40.55,2.2,0
 84-94,1.11,0,8.2,0,0,404.45,8.73,1.29,0,29.85,8.74,1.52,0,0,6.65,0,1.81,0,19.11,20.42,0,12.42,290.28,1.99,94.23,43.31,0,5.89,0,1.87,0,0,172.1,18.09,0,23.03,7.68,0
 96-106,2.72,0,14.96,7.21,0,393.37,12.53,1.52,0,28.58,19.08,1.32,2.19,2.58,3.46,0,16.77,14.67,27.9,18.53,1.02,26.3,302.9,2.82,128.58,55.6,0,51.43,0,2.15,12.88,0,57.5,23.01,0,49.52,3.35,0
108-118,2.57,0,21.75,1.32,4.96,552.86,30.69,3.38,1.4,41.54,33.64,0,0.63,0,13.35,0,6.89,3.99,30.56,41.42,0,29.92,357.13,7.45,80.96,65.77,8.11,24.77,0,0.75,3.07,0,56.72,12.28,0,37.57,2.54,0
120,0,0,16.08,2.15,0,585.09,31.45,1.76,0,38.89,13.13,0,0,0,3.9,6.33,21.18,0,48.82,28.55,12.66,42.86,419.56,6.39,73.35,79.36,0,16.89,0,0,0,0,57.39,4.02,19.72,46.41,8.07,0
