stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,293.34,5242.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.38,0,0,0,0,0,0,0,0,0,0
  5-6,597.79,7880.42,0,0,0,0,0,0,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,269.72,17.23,0,0,65.29,0,74.4,0,0,0,0,0,0,0,0,0,0
  7-9,154.14,272.61,345.88,0,0,646.38,0,0,0,0,0,236.22,0,0,0,0,0,0,0,0,0,0,0,6141.43,216.76,0,0,2435.37,0,11.46,22.77,0,0,0,0,0,0,0,0,0
 10-12,0,218.89,275.31,0,38.97,453.66,0,0,0,0,0,109.06,0,0,0,0,0,0,0,0,0,0,0,4716.55,55.37,0,0,1553.65,0,0,20.67,9.5,296.58,0,5.41,3.51,0,0,0,0
 14-21,0,0,29.75,150,61.53,97.67,0,0,0,23.93,4.29,2.35,0,0,1.02,0,0,0,0,101.31,0,0,82.83,1469.04,28.55,6.83,32.77,50.3,0,44.97,0,164.52,9.52,0,101.15,455.94,0,6.64,0,0
 24-34,0,0.83,0.63,38.69,13.87,317.91,0,2.68,1.25,53.65,1.88,0,1.62,2.3,2.54,3.76,1.34,0.76,0.67,251.01,1.58,0,92.95,2480.85,9.18,18.36,15.15,0,0,52.2,0,0,2.98,0,13.74,560.34,0,60.38,0,6.13
 36-46,0,0,0,14.85,0,657.93,0,0.71,0,49.99,0.95,0,0.75,4.02,2.72,4.74,0.97,3.98,0,184.78,0,4.64,58.77,1674.93,3.94,10.95,12.84,0,0,36.47,0,10.03,2.18,1.56,0,372.19,0,25.42,0,13.67
 48-58,0,0,0,26.3,1.54,809.63,0,0.51,1.9,32.37,1.58,0.48,7.67,6.64,4.31,5.12,0.8,5.49,0,211.59,0,13.35,36.22,747.41,1.98,3.93,2.7,0,0.39,11.59,0,0,0,0,0,137.13,0,18.74,0,2.99
 60-70,0.81,0,0,29.62,0,533.57,0,0,0,52.37,3.85,0,0,1.96,0,0.81,2.81,3.84,0,120.65,1.83,19.52,41.51,366.43,5.54,0,11.79,0,0,8.43,0,0,0,0,0,31.13,0,12.63,0,0
 72-82,0,0,0,14.25,2.73,197.03,0,0,1.03,50.06,7.79,0,1.8,2.48,0.54,2.23,0.68,2.28,4.19,142.32,1.07,12.32,27.62,225.54,0.5,3.75,9.59,0,0,5.32,0,0,3.03,0,0,5.27,0,16.87,1.31,0
 84-94,0,0,1,33.46,2.73,195.63,0,0,1.93,32.8,3.51,0,2.85,14.28,1.11,4.74,1.21,5.8,0,127.42,0,15.36,24.54,232.46,5.46,0,4.41,0,2.93,9.38,0,0,0.57,0,0,4.26,1.61,36.97,0,0
 96-106,0,0,0,23.38,1.88,132.05,0.69,0,1.74,56.75,4.46,0,2.85,9.49,1.39,0.72,3.92,3.52,0,81.9,0,6.14,11.04,199.91,1.42,5.09,9.76,0,0,6.9,0,0,0,0,0,6.41,1.17,13.4,0.74,0
108-118,0,0,0,18.71,4.2,139.77,0,0,0.53,41.47,9,0,0.63,11.7,1.58,3.58,2.58,1.18,0,61.69,0,10.33,10.77,290.4,4.31,6.26,4.03,0,0,6.98,0,0,1.23,0,0,0.43,0.81,14.65,0,0
120,0,0,0,19.68,11.12,181.36,0,0,0,90.05,0,0,0,18.33,1.36,0,0,4.16,0,43.65,0,5.63,13.21,248.72,0,4.87,6.26,0,0,5.76,0,0,0,0,0,1.57,0,3.98,0,0
