stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,53.24,0,0,0,0,0,0,0,0,0,0
  5-6,11.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,15.88,10.11,4.83,0,0
 10-12,0,0,0,0,0,0,39.32,0,4.65,0,0
 14-21,0,0.93,0,0,0,0,0.83,0,0,0,0
 24-34,0,0,0.6,0.99,0,0,0,0,0,0.68,2.47
 36-46,0,0,0.56,4.57,0,0,3.33,0,0,0,0
 48-58,0,0.6,0.57,0,0,0.61,0.97,0,0,0.7,0
 60-70,0,0,2.58,4.2,0,0,6.65,0,0,0,0
 72-82,0,0,1.6,1.52,0,1.43,0.64,0,0,0,1.33
 84-94,0,0,0,0.86,0,0,11.23,0,0,1.05,0
 96-106,0,1,0,1.85,0.67,2.17,2.07,0,0,0,0
108-118,0,2.7,0,0.43,4.47,0,6.38,0,0,0.41,0
