stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,59.25,1.07,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,44.7,0,0,47.49,23.97,2.04,0,0,0.87,0,28.79,4.44,2.55,0,23.55,10.19,5.79,0,0,0,0,0
 24-34,0,0,140.91,0,0,11.85,0,1.93,0,0,0,0,6.78,4.54,2.27,0,0.77,0,0,69.76,6.99,0,49.48,61.94,2.24,0,0,0,0,200.39,0,0,0,6.88,1.32,7.6,0,0,6.16,0,2.07
 36-46,0,0,138.4,1.22,0,7.06,0,8.4,2.13,3.18,2.11,0,12.51,15.96,13.23,0,0,0,0,61.57,1.93,0,19.4,33.14,0,1.67,0.81,0,0,338.35,2.6,0,0,1.98,0,2.47,0,3.31,24.22,0,0
 48-58,0,0,128.21,0,0,20.54,0,37.18,1.64,5.91,0,0,17.38,10.14,0,0,2.06,1.77,0,90.05,3.71,4.42,19.39,85.62,0,0,0,0,0,262.29,0.65,0,0,0,0,7.98,0,3.91,25.5,0,0
 60-70,0,0,187.13,1.05,0,18.4,1.15,29.97,3.35,7.23,0,1.71,14.62,15.39,2.75,0,0.79,0,0,147.83,2.26,15.28,17.67,47.02,0,0.71,0,0,1.65,172.13,0.85,0,0,0,0,7.21,0,6.98,27.59,0.71,8.75
 72-82,0,0,135.69,1.91,0,28.36,4.67,27.09,9.81,6.39,6.01,0,5.28,13.47,1.7,4.76,6.91,0,0,223.29,1.8,6.69,10.84,46.73,0,0,2.2,0,5.39,135.46,0,0,0,0.49,0,8.3,1.87,12.55,51.58,12.13,0.55
 84-94,0,0,238.97,11.62,1.17,36.29,0.73,39.32,0.85,5.94,8.79,1.23,4.84,11.88,3.1,7.55,1.66,0.57,0,193.61,6,11.41,16.44,26.48,0.61,7.69,7.51,0,0,369.54,0,0,0.73,1.43,0,12.55,1.66,5.47,31.75,9.68,2.33
 96-106,0,0.85,243.62,15.12,0.89,39.56,2.84,51.81,5.36,32.71,17.76,0,8.04,29.11,8.86,0,10.58,2.98,2.12,256.91,2.98,19,13.4,56.55,0.58,4.57,3.17,0,6.65,295.31,0,0,2.73,0,0,11.99,4.43,26.13,55.08,7.11,5.41
108-118,0,0.74,245.72,3.36,4.96,23.86,1.1,71.94,3.46,24.83,18.8,0,8.05,25.53,3.55,1.65,8.56,4,0,231.08,10.25,9.18,11.69,73.71,1.55,0.9,7.34,0,0.87,233.41,0,0,0.44,1.01,0,0,6.84,6.25,60.16,17.4,3.36
120,0,0,196.72,11.26,0,19.73,1.33,44.08,5.54,21.78,25.61,0,15.31,19.56,4.39,3.75,9.09,9.37,0,171.29,2.51,19.88,15.19,52.58,3.26,12.57,16.68,0,0,143.56,0,0,0,0,0,2.39,1.39,22.53,63.13,8.22,0
