stage,endoderm,epidermis,eye,glial,gut,heart,ionocyte,lateral.line,mucous,mural.cell,neural,olfactory,otic,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0.84,0,0,0,0.85,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.1,0,0,4.22,0.6
 36-46,0,2.39,0.58,0,0,0,0,0,0,0,6.35,0,0,3.31,0
 48-58,0,0,0.38,0,0,0,0,1.39,0,0,1.4,4.29,0,0.9,0
 60-70,0,0,2.58,1.54,0,0,0,0,0,0,1.31,0,0,1.26,0
 72-82,0,1.03,8.52,1.86,0,0,3.94,0,0,0,0,1.11,0,1.51,0
 84-94,0,0,0,0,2.54,0,0,0,0.58,0.81,7.09,0,0,9.03,0
 96-106,0,0,7.54,0,1.03,0.76,0,0,0,0,0,0,0,0,0
108-118,0,0.73,0,0,1.89,0,0.8,0,0,0,1.53,0,5.04,0.61,0
120,3.17,0,0,0,0,0,0,0,0,0,5.14,5.12,0,0,4.72
