stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,visceral.smooth.muscle,xanthophores
 14-21,0,263.89,0,0,0,0,0,0,0,2.83,0,0.92,0,0.98,0,0.8,1.89,0,0,0,0,0,0.86,0,0,0,0,0
 24-34,0.6,504.9,0,0,1.87,33.16,0,0.84,0,0,0,0,0,4.4,2.29,1.34,26.74,0.99,13.79,0,5.19,0,0,0,2.08,0,0,0
 36-46,0,353.66,0,0,1.52,54.01,0,0,0,0,2.72,1.77,0,2.12,2.81,0,20.8,0,15.2,0,3.21,1.8,0,0,6.41,0,0,0
 48-58,0,352.86,0,0,17.29,117.2,0.45,1.8,0,0,0,0,0,3.61,4.95,0,29.68,0,23.08,0.46,9.47,0.65,0,0,6.38,0,0,0
 60-70,0,390.09,0,0,18.86,81.74,0,0.58,0,0,0,9.74,0,2.41,5.27,1.33,12.75,0,20.88,0.62,0.82,0,0,0,0.88,0,0,0
 72-82,0,293.36,0.51,0,25.45,91.32,0,2.59,0,0,0,0,0,8.95,2.84,0.84,26.11,0,57.71,0,3.76,0,0,1.5,0,0,0,2.11
 84-94,0,669.33,0,0,19.27,187.28,0,0,0,0,0,0,5.39,3.91,4.59,0,12.51,0,48.87,1.84,1.27,0,0,0,2.74,0.78,1.64,0
 96-106,0,760.95,9.21,0,27.21,191.04,0,0,2.14,0,0,1.48,0,16.8,6.8,2.74,39.05,0,72.48,4.45,8.46,0,0,0.6,0,0.67,0.91,0
108-118,0,641.11,0,6.59,11.68,268.18,0,4.22,1.78,0,0,0.44,0,12.32,4.62,0,25.29,0,42.55,1.43,5.71,0.48,0.42,0,0,1.03,0,0
120,0,396.6,0,0,0,196.21,0,6.07,3.31,0,0,0,5.65,4,2.85,2.02,61.97,0,65.94,7.77,0,0,2.12,0,0,0,0,0
