stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,3.59,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,9.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.37,10.73,1,0,0,0,5.97,0,0,0.83,0,0,0,0,2.98,0,0,1.96,0,0,0,3.04,2.03,12.45,0,3.1,3.06,1.02,0
 24-34,0,0,0,0,0,0,1.79,0,0.76,0,0,0,2.21,0,0,0,0,0,0.68,0.64,4.85,0,0,0,4.6,0,0,0,0.62,0,6.11,0
 36-46,0,0,0,0,0.86,0,0,0.75,0,0,0.69,0,0,0,0,0,0,0,0.96,1.07,5.43,0,0,0,48.71,0,0,0,0,0.71,3.63,0
 48-58,0,0,0,0,1.88,1.55,0,1.58,1.26,0,0,0,0.51,0,0,0,0,0,0,0,4.01,0,0,0,48.22,0,0,0,0,0.93,3.75,0
 60-70,0,0,0,0,1.37,5.82,1.57,26.99,5.23,1.36,0,0,2.84,0,0,0,0,0,0,0,9.33,0,0,0,78.49,0,0,0,0,0,10.14,0
 72-82,0,0,0,0.58,15.62,3.91,0.64,19.91,0.71,2.21,0,6.82,0,0,0,0,2.62,1,0,0,16.07,0,0,0,45.02,0,0,0,0,4.07,2.07,0
 84-94,0,0,0,9.65,37.72,0,0,13.05,0,29.36,0,5.02,3.63,0,0,0.61,0,2.71,1.93,2.13,0,0,2.88,0,253.85,0,0,3.04,0,0,2.5,1.23
 96-106,0,0,0,24.3,46.86,32.41,1.62,24.47,2.61,33.42,0,10.47,3.79,0,0,2.98,0,11.17,0,0,13.45,0,0,0,100.11,0,0,2,0,0,0.57,0
108-118,0,0,0,8.52,31.02,1.91,2.98,14.71,0.71,44.87,0,19.43,6.56,0.43,0,0,0,0.96,2.88,0,28.37,0,1.32,0,127.75,0,0,4.66,0,0,2.6,0
120,0,2.96,0,13.53,24.5,19.11,2.65,36.72,0,53.63,0,32.93,11.45,0,1.74,1.5,0,0,1.72,0,20.23,0,6.6,0,122.5,0,0,6.5,0,0,4.18,0
