stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.75,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,19.49,0,0,0,0,0
 24-34,0,0,0.78,0,0,0,0,0,0,2.97,0,0,0,0.8,0
 36-46,0,0,0.7,0,0,0,0,0,0.61,11.91,1.55,0,1.22,0.63,0
 48-58,0,0,0.64,0,1.04,0,2.92,0,0,6.88,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0
 72-82,0,0,0,0,9.62,0,0,1.82,0,0,0,0,0,0,0.73
 84-94,0,0,0,0,1.69,1.5,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.34,0,0,0,0,0.62,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.55,0,0,2.17,0,0
