stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,17.18,397.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,0
  5-6,41.21,475.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,12,0,14.99,0,0,20.53,0,0,0,7.28,0,0,0,0,0,0,0,0,0,0,266.1,22.49,0,0,79.55,0,0,0,0,0,0,0
 10-12,0,11.99,0,30.27,0,0,16.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.17,3.16,0,0,80.49,0,0,11.53,0,0,0,0
 14-21,0,0,0,0,5.96,4.58,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,43.98,0,0,0.86,1.77,0,1.16,0,0,1.67,14.44,0
 24-34,0,0,0,1.41,3.09,0,10.11,1.81,0,1.12,0,0,0,0,0.68,0.74,0,8.6,0,0,5.86,74.66,0,0,1.07,0,2.35,0,0,0,0,23.66,0.84
 36-46,0,0,0,0,0,0,13.79,0,0,1.56,0,0.73,0,0,0,0,16.77,11.53,0,0,2.12,79.55,0,0.63,1.2,0,0,0,0,0,0,19.64,0
 48-58,0,0,0,0,0.75,0,22.5,0,1.03,11.06,0,0,4.28,1.09,0,0,0,14.32,0,0,0.78,64.11,0,0,0,0,0,0,0,0,0,8.86,6.04
 60-70,0,0,0,0,9.39,0,21.3,0,0,10.77,0,0,0,0,0,0,0,5.25,0,0,2.01,18.06,0,0,1.12,0,0,0,0,0,0,4.52,0
 72-82,0,0,0,0,0,0,4.18,0,0.92,12.29,0,0,0,0,0,0,0,10.1,1.48,0,0.88,29.43,0,0,0,0,0,0,0,0,0,0,2.61
 84-94,0,0,0,0,1.18,0,2.67,0.58,0,1.54,0,0.88,0,0,0,0,0,12.66,0,0,0,8.95,2.04,0,0,0,0,0,1.21,0,0,0,0
 96-106,0,0,0,0,0,0,2.17,0,0,0.59,0,0,0.73,0,0,0,0,4.1,0,0.93,0,3.35,0,1.13,0,0,1.2,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.51,0,0,0.9,0,0.69,0,0,0,0,0,10.29,0,2.74,0.42,5.39,0.5,0,0.49,0,0,0,0,0.66,0,0,1.2
120,0,0,9.35,0,2.55,0,0,1.42,1.56,0,0,0,0,0,0,0,0,24.48,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0,0
