stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,120.9,3086.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.58,0,0,0,0,0,0,0,0,0,0,0
  5-6,155.03,2768.16,0,9.08,0,0,0,0,0,0,0,0,49.23,0,0,0,0,0,0,0,0,0,0,0,165.87,7.94,0,0,66.82,0,99.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,71.45,74.12,0,133.22,0,0,158.61,0,0,0,0,0,160.14,0,0,0,0,0,0,0,0,0,0,0,2306.28,108.8,0,0,722.64,0,0,43.74,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,50.93,0,171.22,0,25.84,229.32,0,0,0,0,0,111.76,0,0,0,0,0,0,0,0,0,0,0,2227.79,54.09,0,0,776.92,0,3.3,9.33,8.51,101.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.68,104.08,21.28,53.18,0,0,0,7.93,4.38,1.08,3.4,0,5.85,0,1.14,0,0,33.66,0,0,23.11,752.03,27.17,4.73,4.83,17.63,0,54.73,6.8,105.62,7.29,2.19,51.77,192.24,0,0,3.31,0,0
 24-34,0,0,0,2.13,20.2,7.45,154.79,0,0,0,29.69,0,1.4,3.5,0.69,2.87,2.29,1.44,5.53,0,77.98,0.74,0,31.92,1235.33,0.62,5.8,7.81,0,0,39,0,0,0.6,4.48,9.21,222.96,0,0,16.44,0,6.33
 36-46,0,0,0,0.56,1.86,3.13,441.97,0,0,0.64,20.4,0.72,0,9.47,0.56,0,1.36,0,0,0.87,87.94,0.95,1.59,23.22,993.47,9.82,2.42,2.1,0,0,37.31,0,1.05,5.07,0,0,186.19,0,0,1.91,0,8.01
 48-58,0,0,0,0,8.18,0,445.67,3.07,4.37,0.45,12.4,0,0,0,0,0,2.41,0.87,0.5,1.55,69.03,0.82,0.42,6.58,389.36,0.51,0.97,3.92,0,0,10.53,0,0,0,1.46,0,49.09,0,0,4.27,0,0
 60-70,0,0,0,0,17.17,0,389.74,0,0,3.89,12.21,0,0,0,0.72,0.71,0,2.21,0.74,0,71.9,0,4.45,7.37,326.71,4.58,0,0.81,0,0,2.32,0,0,0,0,0,23.65,0,0,0,0,0
 72-82,0,0,0.53,0,4.03,1.45,124.45,0,0,2.82,11.1,0,0,0,0.79,0.51,0,0.61,0,0,67.89,1.16,3.02,12.46,126.66,0.55,0,1.2,0,0,0,0,0,0,0,0,1.01,0,0,3.58,0,0
 84-94,0,0,0,0,14.14,1.4,122.66,0,3.17,0,11.34,1.64,0,0,3.01,0,0,0,2.25,0,55.45,0,3.3,8.75,106.02,2.04,0.89,5.01,0,0.57,4.92,0,0,0,0,0,0,2.32,0.71,8.11,0,0
 96-106,0,0,0,0,4.95,1.46,61.75,0,0,0,8.43,1.98,0,0.62,6.89,1.06,0,0,0,0,29.65,0,0,3.79,85.02,0,0,1.73,0,0,2.72,0,0,0,0,0,2.51,1.67,0.87,1.62,0.68,0
108-118,0,0,0,0,5,5.05,58.85,0,0.43,0,11.47,0.43,0,0,4.21,0,2.41,0.6,0,0,18.75,0,0.62,10.24,92.96,0.47,0.81,1.89,0,0,1.48,0,0,0,0,0,0.44,0,0,2.32,0.73,0
120,0,0,0,0,5.57,18.83,106.88,0,0,0,26.17,4.52,0,0,5.16,0,0,0,0,0,29.42,0,0,8.92,190.07,6.9,1.31,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0
