stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,22.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.45,0,0,0,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,8.95,0,0,0,6.41,0,0,0,0,0,0,0
 14-21,0,0,5.5,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.88,2.51,0,0,0,112.06,0,0,0,1.03,0,0,0,0
 24-34,0,0.61,0.61,1.21,0,1.19,0.8,0,1.11,0,0,1.95,0.59,0,0,0,0,1.66,0,0.87,41.73,0,6.24,0,291.21,0,0,0,0,0.74,0,1.76,5.66
 36-46,0,0,4.7,0,0,6.15,0.93,0,18.4,0,0,3.13,0,0.61,0,0,0,0.81,9.17,3.37,54.97,0,2.44,0.74,320.99,0,13.17,0,0,5.79,0,4.03,1.58
 48-58,0,0,5.87,0,0,15.08,4.06,0,80.1,0,0,14.48,0,0,0.5,0,0,1.97,2.66,0.72,76.93,0,5.88,0,243.9,0,0.74,0,0,16.25,0,6.47,3.72
 60-70,0,0,12.63,0.72,0,59.23,2.59,0,260.24,0,0,22.12,1.88,0,0,0,0,8.35,3.11,0.65,35.4,0,4.82,0.62,249.53,0,0,3.94,0,11.66,0.77,2.01,6.11
 72-82,0,0,12.36,10.38,0,64.28,0,0,306.65,0,0,26.78,0.66,2.92,0,0,0,14.88,5.7,0,48.78,0,4.07,1.38,197.25,0,0.61,0,0,3.98,3.16,23.4,0
 84-94,0,0,19.37,17.99,0,38.6,18.93,0.64,203.5,3.13,0,34.77,0.87,2.1,0,0,2.56,9.57,11.89,0,71.61,0,6.97,0,470.28,0,1.57,0,0,2.86,3.68,21.99,0
 96-106,0,0,23.22,29.35,0.62,30.97,2.03,0,230.92,0,0,86.99,5.32,1.31,0,0,0,5.41,4.37,0,77.24,2.06,8.37,0,493.42,0,0.87,0.62,0,3.95,17.72,28.44,0
108-118,0,0,49.4,15.59,2.86,26.03,9.62,0,245.19,0.7,0,46.43,7.32,12.36,2.98,2.83,0,29.68,10.09,0.5,89.11,0,10.55,0,408.76,0,2.09,0,0,3.61,12.89,12.84,2.83
120,0,0,79.5,17.65,4.62,45.24,20.63,2.36,411.35,3.78,0,76.16,9.8,6.33,0,0,0,12.13,1.11,1.54,115,0,5.36,7.82,332.22,0,0,1.22,0,0,4.62,5.97,0
