stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,46.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,8.96,3.14,0,61.54,0,0,39.57,0,0,0,0,0
 14-21,0,0,1.67,273.5,0,0,0,0,0,1.66,0,0,0,2.55,0,7,0,0,0.93,0,11.44,0,2.78,0.9,0,131.59,0
 24-34,0,0,0,35.54,0,0.8,0,0,0,28.08,14.52,0,0,0.81,0,13.06,0,0.62,0,0.82,0,2.43,2.59,0,0,763.89,0
 36-46,0,0,0,11.29,21.4,0.62,0,0,0,1.68,13.01,0,0,3.67,0,23.53,0,0,0,0,0,0,0,0,0,473.24,0
 48-58,0,0,0,0,0.38,0,1.31,0,0,10.82,14.21,0,0,1.48,0,6.1,6.92,0,0,0.42,0,0,0,1.59,0,392.02,0
 60-70,0,0,0,0,0.72,0,0,0,0,23.16,25.82,0,0,2.4,0,4.75,0,0,0,2.35,0,2.47,0,1.59,0.65,229.29,0
 72-82,0,0.69,0,0,7.69,0,0,0.99,0,19.69,28.83,0.71,0,7.13,0,14.44,0,0,0,1.03,0,0,0,0,0.56,470.34,0
 84-94,0,0,0.67,0.81,2.6,5.23,0.57,0,0,6.46,37.52,0,0,0.92,0,14.11,0,0,0,0,0,0,0,0,0,427.19,0
 96-106,0,0,1.92,8.79,4.92,0,2.08,0,0,2.81,29.69,0,0,1.07,0.66,10.21,0,0,0,0,0,0,0,0,0,421.01,0
108-118,0,0,0.79,1.91,19.45,0,0,0,0,8.84,38.3,0,1.21,6.77,0,5.26,0,0,0,0,0,0,0,0,0,418.78,3.06
120,0,0,0,0,0,0,0,0,5.2,0,35.62,0,0,5.58,0,0,0,0,0,1.14,0,0,0,0,0,401.49,0
